frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
66,2.708333,2.282518,3.751860,0.992337,1.459982,6183,0.516651,0.6373,0.0651,mask
67,2.750000,2.293156,3.765490,0.948986,1.557831,6028,0.441417,0.5788,0.0803,mask
68,2.791667,2.326313,3.809068,0.924676,1.609968,6002,0.437949,0.6156,0.1565,mask
69,2.833333,2.337675,3.813908,0.914512,1.630873,6063,0.440314,0.6245,0.1337,mask
70,2.875000,2.350365,3.820553,0.910561,1.642073,6264,0.427248,0.6124,0.1255,mask
71,2.916667,2.323139,3.799249,0.908735,1.653704,6477,0.428120,0.6810,0.0926,mask
72,2.958333,2.281755,3.774348,0.910953,1.658783,6425,0.454443,0.6919,0.1048,mask
73,3.000000,2.210595,3.680068,0.922459,1.640885,6154,0.566751,0.7412,0.0000,mask
74,3.041667,2.256267,3.724378,0.946942,1.587824,6397,0.633941,0.6980,0.0000,mask
75,3.083333,2.235920,3.724792,0.982935,1.501684,5848,0.563993,0.6640,0.0663,mask
76,3.125000,2.391700,3.847787,1.023211,1.400573,6149,0.653279,0.7011,0.0000,mask
77,3.166667,2.125564,3.697303,1.056156,1.314845,5962,0.539679,0.8464,0.3188,mask
78,3.208333,2.232190,3.712963,1.068852,1.278642,6453,0.652632,0.8272,0.1162,mask
79,3.250000,2.253345,3.725966,1.053191,1.313710,6131,0.664646,0.8260,0.1019,mask
80,3.291667,2.258070,3.721890,1.013709,1.409396,6056,0.627785,0.8026,0.0674,mask
81,3.333333,2.473705,3.916434,0.969519,1.518128,6182,0.430638,0.5239,0.0000,mask
82,3.375000,2.482559,3.925209,0.943476,1.582974,6318,0.421278,0.5386,0.0000,mask
83,3.416667,2.482730,3.926742,0.944696,1.581318,6412,0.463953,0.5878,0.0000,mask
84,3.458333,2.392584,3.842610,0.961702,1.541657,6348,0.491403,0.6718,0.0000,mask
85,3.500000,2.331872,3.803849,0.974432,1.513420,6193,0.539318,0.7038,0.0618,mask
86,3.541667,2.366480,3.822813,0.973534,1.518964,5852,0.631235,0.7530,0.0000,mask
87,3.583333,2.295954,3.757532,0.967448,1.536317,5972,0.599846,0.6634,0.0000,mask
88,3.625000,2.290565,3.752081,0.970196,1.529784,5753,0.614257,0.6840,0.0000,mask
89,3.666667,2.185563,3.704747,0.983382,1.494690,6503,0.585941,0.7792,0.1683,mask
90,3.708333,2.202868,3.737284,0.992667,1.466294,6268,0.538047,0.8070,0.2677,mask
91,3.750000,2.342109,3.784918,0.982473,1.483858,6338,0.545505,0.7397,0.0000,mask
92,3.791667,2.398547,3.834518,0.952515,1.549865,6680,0.426535,0.6160,0.0000,mask
93,3.833333,2.484381,3.909526,0.919437,1.625293,6483,0.380010,0.4962,0.0000,mask
94,3.875000,2.493574,3.914443,0.903589,1.661276,6558,0.399201,0.5477,0.0000,mask
95,3.916667,2.501807,3.922316,0.914606,1.634149,6458,0.386518,0.5140,0.0000,mask
96,3.958333,2.343181,3.779708,0.947620,1.555044,6852,0.466842,0.6510,0.0152,mask
97,4.000000,2.245560,3.716503,0.989752,1.454662,6368,0.476628,0.7243,0.1112,mask
98,4.041667,2.321317,3.770952,1.027932,1.364513,5871,0.558647,0.7114,0.0693,mask
99,4.083333,2.291061,3.719417,1.052031,1.309149,5959,0.587849,0.6533,0.0000,mask
100,4.125000,2.325856,3.759410,1.055406,1.304686,6048,0.615808,0.6657,0.0000,mask
101,4.166667,2.265455,3.773221,1.037471,1.352758,6141,0.541211,0.7687,0.2205,mask
102,4.208333,2.221030,3.723016,1.007571,1.431101,6461,0.519411,0.7149,0.1424,mask
103,4.250000,2.205676,3.665924,0.982997,1.497751,6295,0.596332,0.6436,0.0000,mask
104,4.291667,2.248424,3.716173,0.978022,1.517165,6162,0.586943,0.6593,0.0000,mask
105,4.333333,2.248906,3.721617,0.993209,1.486676,6401,0.565508,0.6963,0.0034,mask
106,4.375000,2.254931,3.732007,1.016440,1.435021,6446,0.583756,0.7168,0.0127,mask
107,4.416667,2.279114,3.752561,1.033905,1.396174,6378,0.553869,0.7171,0.0000,mask
108,4.458333,2.231490,3.726449,1.039669,1.385653,6184,0.541323,0.7582,0.0521,mask
109,4.500000,2.227885,3.731737,1.036065,1.398587,5971,0.537550,0.6868,0.0556,mask
110,4.541667,2.217264,3.729341,1.027436,1.424242,6220,0.675484,0.8013,0.0713,mask
