frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-0.357296,0.086124,4.167007,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.076,390.355,46.265,514.076,390.353,42.292,432.646,668.476,0.001692,0,0,0
2,0.041667,-0.358190,0.051617,4.155762,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.419,378.239,46.539,513.419,378.241,42.407,420.648,668.476,0.001842,0,0,0
3,0.083333,-0.354109,0.044698,4.144518,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.522,375.839,46.553,514.522,375.839,42.522,418.360,668.476,0.000403,0,0,0
4,0.125000,-0.348591,0.051916,4.133273,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.141,378.446,45.554,516.141,378.446,42.638,421.084,668.476,0.000323,0,0,0
5,0.166667,-0.338864,0.094935,4.122028,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,47.204,519.269,393.824,42.754,436.578,668.476,0.000220,0,0,0
6,0.208333,-0.331219,0.168213,4.110783,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,48.281,521.670,420.095,42.871,462.966,668.476,0.000332,0,0,0
7,0.250000,-0.326815,0.285079,4.099539,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,51.399,522.923,462.126,42.988,505.114,668.476,0.000387,0,0,0
8,0.291667,-0.320202,0.429917,4.088294,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,45.820,524.976,514.436,43.107,557.542,668.476,0.001655,0,0,0
9,0.333333,-0.307741,0.621749,4.077049,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,45.684,529.148,583.962,43.226,627.188,668.476,0.001054,0,0,0
10,0.375000,-0.308904,0.732799,4.065804,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,46.220,528.421,624.693,43.345,668.038,668.476,23.147355,0,1,0
11,0.416667,-0.310697,0.546013,4.054559,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.462,557.767,44.654,527.462,557.772,43.465,601.237,668.476,0.004658,0,0,0
12,0.458333,-0.305410,0.433160,4.043315,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.070,517.332,45.213,529.070,517.332,43.586,560.918,668.476,0.000656,0,0,0
13,0.500000,-0.313432,0.345105,4.032070,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.838,485.698,45.350,525.838,485.698,43.708,529.406,668.476,0.000351,0,0,0
14,0.541667,-0.311209,0.272964,4.020825,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.331,459.700,45.746,526.331,459.700,43.830,503.530,668.476,0.000020,0,0,0
15,0.583333,-0.306266,0.215333,4.009580,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.823,438.871,45.256,527.823,438.871,43.953,482.824,668.476,0.000236,0,0,0
16,0.625000,-0.306699,0.172498,3.998336,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.348,423.359,46.477,527.348,423.359,44.076,467.436,668.476,0.000238,0,0,0
17,0.666667,-0.300573,0.152828,3.987091,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,46.884,529.287,416.293,44.201,460.494,668.476,0.000248,0,0,0
18,0.708333,-0.295954,0.155808,3.975846,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,45.717,530.680,417.553,44.326,461.878,668.476,0.000363,0,0,0
19,0.750000,-0.287343,0.199269,3.964601,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,46.570,533.560,433.815,44.452,478.267,668.476,0.001216,0,0,0
20,0.791667,-0.285235,0.330506,3.953356,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.040,482.778,45.025,534.040,482.777,44.578,527.355,668.476,0.000569,0,0,0
21,0.833333,-0.281376,0.485736,3.942112,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.175,540.956,45.027,535.175,540.957,44.705,585.662,668.476,0.001337,0,0,0
22,0.875000,-0.270161,0.653923,3.930867,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.066,604.311,44.511,539.066,604.311,44.833,649.144,668.476,0.000254,0,0,0
23,0.916667,-0.271664,0.702163,3.919622,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.213,600.868,43.369,538.213,623.087,44.962,668.048,668.476,22.218662,0,1,0
24,0.958333,-0.282628,0.493444,3.908377,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.800,545.411,45.441,533.800,545.416,45.091,590.507,668.476,0.004648,0,0,0
25,1.000000,-0.294717,0.386701,3.897133,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.938,505.726,48.130,528.938,505.725,45.221,550.946,668.476,0.000811,0,0,0
26,1.041667,-0.304306,0.304168,3.885888,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.993,474.955,46.376,524.993,474.955,45.352,520.307,668.476,0.000130,0,0,0
27,1.083333,-0.314400,0.244184,3.874643,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.833,452.553,46.099,520.833,452.553,45.484,498.036,668.476,0.000154,0,0,0
28,1.125000,-0.316216,0.201619,3.863398,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.796,436.642,46.719,519.796,436.642,45.616,482.258,668.476,0.000125,0,0,0
