frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
55,1,0,1,0,0.245288,0.079501,0.217348,0.034438,1,0.049974,0.000000,0.495050,0,0,0.000000
56,1,0,0,0,0.166174,0.009704,0.184241,0.017936,1,0.039352,0.000000,0.495050,0,0,0.000000
57,1,0,0,0,0.162586,0.007678,0.166590,0.039630,1,0.040344,0.000000,0.495050,0,0,0.000000
58,0,0,0,1,0.154958,0.150154,0.127444,0.067815,1,0.046958,0.000000,0.495050,0,0,0.000000
59,0,0,0,1,0.012809,0.127120,0.062355,0.047895,1,0.037479,0.000000,0.444276,0,0,0.000000
60,0,0,0,0,0.131552,0.020576,0.106570,0.001045,1,0.016121,0.000000,0.495050,0,0,0.000000
61,0,0,0,0,0.111159,0.014972,0.107005,0.012161,1,0.009798,0.000000,0.444276,0,0,0.000000
62,0,0,0,0,0.100937,0.025011,0.105701,0.056260,1,0.005061,0.000000,0.444276,0,0,0.000000
63,0,0,0,0,0.077268,0.075947,0.050155,0.012490,1,0.025735,0.000000,0.444276,0,0,0.000000
64,0,0,0,0,0.010340,0.026067,0.038097,0.000502,1,0.011094,0.000000,0.507744,0,0,0.000000
65,0,0,0,0,0.028557,0.037799,0.037608,0.000249,1,0.020768,0.000000,0.444276,0,0,0.000000
66,0,0,0,0,0.063525,0.030636,0.037375,0.014818,1,0.006244,0.000000,0.444276,0,0,0.000000
67,0,0,0,0,0.033792,0.034362,0.023675,0.003511,1,0.017201,0.000000,0.444276,0,0,0.000000
68,0,0,0,0,0.011379,0.010057,0.020646,0.018089,1,0.003354,0.000000,0.507744,0,0,0.000000
69,0,0,0,0,0.013590,0.015334,0.011433,0.000525,1,0.005507,0.000000,0.444276,0,0,0.000000
70,0,0,0,0,0.014262,0.005647,0.011497,0.017060,1,0.002806,0.000000,0.444276,0,0,0.000000
71,0,0,0,0,0.016326,0.019829,0.021730,0.007489,1,0.005529,0.000000,0.444276,0,0,0.000000
72,0,0,0,0,0.032982,0.019744,0.028393,0.005064,1,0.004521,0.000000,0.444276,0,0,0.000000
73,0,0,0,0,0.051393,0.045469,0.033112,0.001361,1,0.019086,0.000000,0.444276,0,0,0.000000
74,0,0,0,0,0.012869,0.046657,0.034410,0.017239,1,0.013071,0.000000,0.444276,0,0,0.000000
75,0,0,0,0,0.052564,0.017245,0.050987,0.017328,1,0.013612,0.000000,0.444276,0,0,0.000000
76,0,0,0,0,0.069296,0.020132,0.067984,0.000842,1,0.013642,0.000000,0.444276,0,0,0.000000
77,0,0,0,0,0.089013,0.007253,0.068804,0.000631,1,0.016462,0.000000,0.444276,0,0,0.000000
78,0,0,0,0,0.090420,0.084480,0.069406,0.000684,1,0.037715,0.000000,0.444276,0,0,0.000000
79,0,0,0,0,0.013072,0.099518,0.070071,0.021493,1,0.034292,0.000000,0.444276,0,0,0.000000
80,0,0,0,0,0.105201,0.006489,0.091326,0.001570,1,0.021107,0.000000,0.444276,0,0,0.000000
81,0,0,0,0,0.110153,0.022317,0.092891,0.000391,1,0.007532,0.000000,0.444276,0,0,0.000000
82,0,0,0,1,0.131280,0.124640,0.092846,0.020488,1,0.041186,0.000000,0.495050,0,0,0.000000
83,0,0,0,1,0.012504,0.135403,0.072664,0.054167,1,0.026744,0.000000,0.444276,0,0,0.000000
84,0,0,0,0,0.141988,0.014660,0.126338,0.028435,1,0.015530,0.000000,0.495050,0,0,0.000000
85,1,0,0,0,0.156588,0.010633,0.154656,0.000574,1,0.017442,0.000000,0.495050,0,0,0.000000
86,1,0,0,0,0.166848,0.088309,0.154496,0.095974,1,0.019728,0.000000,0.545825,0,0,0.000000
87,0,1,0,1,0.078880,0.171876,0.059502,0.105133,1,0.034259,0.000000,0.558518,0,0,0.000000
88,0,0,0,0,0.095189,0.086688,0.049160,0.000644,1,0.027454,0.000000,0.558518,0,0,0.000000
89,0,0,0,0,0.019335,0.056677,0.049768,0.003611,1,0.027026,0.000000,0.558518,0,0,0.000000
90,0,0,0,0,0.065624,0.008668,0.053238,0.000262,1,0.013958,0.000000,0.444276,0,0,0.000000
91,0,0,0,0,0.073904,0.020455,0.053444,0.000289,1,0.010473,0.000000,0.444276,0,0,0.000000
92,0,0,0,0,0.055888,0.022149,0.053274,0.015146,1,0.011153,0.000000,0.444276,0,0,0.000000
93,0,0,0,0,0.036134,0.028587,0.038664,0.024020,1,0.008961,0.000000,0.444276,0,0,0.000000
94,0,0,0,0,0.018251,0.006117,0.017569,0.012642,1,0.012573,0.000000,0.444276,0,0,0.000000
95,0,0,0,0,0.020043,0.013189,0.011872,0.002764,1,0.018842,0.000000,0.444276,0,0,0.000000
96,0,0,0,0,0.018845,0.014605,0.011666,0.002389,1,0.025487,0.000000,0.444276,0,0,0.000000
97,0,0,0,0,0.024104,0.016281,0.011821,0.001575,1,0.032584,0.000000,0.444276,0,0,0.000000
98,0,0,0,0,0.018084,0.006093,0.011817,0.001567,1,0.040379,0.000000,0.444276,0,0,0.000000
99,0,0,0,0,0.019506,0.038916,0.011914,0.049006,1,0.050082,0.000000,0.444276,0,0,0.000000
100,0,0,0,0,0.048555,0.028414,0.057369,0.008119,1,0.062055,0.000000,0.444276,0,0,0.000000
101,0,0,0,0,0.075662,0.006214,0.065100,0.003241,1,0.073552,0.000000,0.444276,0,0,0.000000
102,0,0,0,0,0.080362,0.007569,0.064950,0.000639,1,0.088812,0.000000,0.444276,0,0,0.000000
103,0,0,0,0,0.073468,0.070512,0.064624,0.064094,1,0.104497,0.000000,0.558518,0,0,0.000000
104,0,0,0,0,0.017948,0.077088,0.002448,0.063238,1,0.120212,0.000000,0.558518,0,0,0.000000
105,0,0,0,0,0.072478,0.004379,0.062800,0.000597,1,0.110124,0.000000,0.444276,0,0,0.000000
106,0,0,0,0,0.072025,0.002976,0.063270,0.000708,1,0.100406,0.000000,0.444276,0,0,0.000000
107,0,0,0,0,0.069133,0.025274,0.063279,0.028907,1,0.092192,0.000000,0.444276,0,0,0.000000
108,0,0,0,0,0.044501,0.037619,0.034384,0.003918,1,0.086008,0.000000,0.444276,0,0,0.000000
109,0,0,0,0,0.009455,0.043207,0.030472,0.005780,1,0.078184,0.000000,0.507744,0,0,0.000000
110,0,0,0,0,0.047001,0.057040,0.024700,0.000395,1,0.074889,0.000000,0.444276,0,0,0.000000
111,0,0,0,0,0.026243,0.014999,0.024347,0.028166,1,0.064744,0.000000,0.444276,0,0,0.000000
112,0,0,0,0,0.016426,0.013123,0.004077,0.000341,1,0.058441,0.000000,0.444276,0,0,0.000000
113,0,0,0,0,0.007540,0.007358,0.004383,0.000204,1,0.053354,0.000000,0.507744,0,0,0.000000
114,0,0,0,0,0.010956,0.013871,0.004570,0.000270,1,0.048028,0.000000,0.507744,0,0,0.000000
115,0,0,0,0,0.021310,0.008219,0.004826,0.006206,1,0.042512,0.000000,0.444276,0,0,0.000000
