frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,0.000962,0.000000,0.200000,0,0,0.000000
2,0,0,0,0,0.001331,0.001256,0.000008,0.000000,1,0.000647,0.000000,0.200000,0,0,0.000000
3,0,0,0,0,0.000290,0.000914,0.000008,0.000001,1,0.000597,0.000000,0.620576,0,0,0.000000
4,0,0,0,0,0.000991,0.000880,0.000009,0.000001,1,0.000564,0.000000,0.620576,0,0,0.000000
5,0,0,0,0,0.000114,0.000253,0.000009,0.000001,1,0.000660,0.000000,0.564160,0,0,0.000000
6,0,0,0,0,0.000200,0.000098,0.000010,0.000001,1,0.000533,0.000000,0.564160,0,0,0.000000
7,0,0,0,0,0.000151,0.000102,0.000011,0.000001,1,0.000415,0.000000,0.564160,0,0,0.000000
8,0,0,0,0,0.000231,0.000103,0.000012,0.000001,1,0.000356,0.000000,0.564160,0,0,0.000000
9,0,0,0,0,0.000286,0.000099,0.000012,0.000001,1,0.000528,0.000000,0.564160,0,0,0.000000
10,0,0,0,0,0.000205,0.000385,0.000013,0.000001,1,0.000672,0.000000,0.564160,0,0,0.000000
11,0,0,0,0,0.000201,0.000365,0.000014,0.000001,1,0.000670,0.000000,0.564160,0,0,0.000000
12,0,0,0,0,0.000305,0.000113,0.000015,0.000002,1,0.000381,0.000000,0.620576,0,0,0.000000
13,0,0,0,0,0.000361,0.000247,0.000017,0.000002,1,0.000050,0.000000,0.620576,0,0,0.000000
14,0,0,0,0,0.000114,0.000351,0.000018,0.000002,1,0.000078,0.000000,0.564160,0,0,0.000000
15,0,0,0,0,0.000418,0.000462,0.000019,0.000002,1,0.000452,0.000000,0.620576,0,0,0.000000
16,0,0,0,0,0.000194,0.000386,0.000020,0.000003,1,0.000456,0.000000,0.620576,0,0,0.000000
17,0,0,0,0,0.000343,0.000154,0.000022,0.000004,1,0.000774,0.000000,0.620576,0,0,0.000000
18,0,0,0,0,0.000193,0.000352,0.000025,0.000005,1,0.000950,0.000000,0.620576,0,0,0.000000
19,0,0,0,0,0.000163,0.000618,0.000028,0.000006,1,0.000776,0.000000,0.620576,0,0,0.000000
20,0,0,0,0,0.000455,0.000745,0.000032,0.000007,1,0.001205,0.000000,0.620576,0,0,0.000000
21,0,0,0,0,0.000422,0.000155,0.000039,0.000009,1,0.001009,0.000000,0.620576,0,0,0.000000
22,0,0,0,0,0.000432,0.000469,0.000047,0.000011,1,0.000829,0.000000,0.620576,0,0,0.000000
23,0,0,0,0,0.000101,0.000355,0.000058,0.000014,1,0.000727,0.000000,0.620576,0,0,0.000000
24,0,0,0,0,0.000278,0.000372,0.000071,0.000018,1,0.000846,0.000000,0.620576,0,0,0.000000
25,0,0,0,0,0.000122,0.000188,0.000088,0.000022,1,0.000730,0.000000,0.620576,0,0,0.000000
26,0,0,0,0,0.000238,0.000259,0.000109,0.000027,1,0.000657,0.000000,0.620576,0,0,0.000000
27,0,0,0,0,0.000404,0.000317,0.000135,0.000032,1,0.000960,0.000000,0.620576,0,0,0.000000
28,0,0,0,0,0.000258,0.000534,0.000167,0.000039,1,0.001150,0.000000,0.620576,0,0,0.000000
29,0,0,0,0,0.000282,0.000654,0.000204,0.000046,1,0.001281,0.000000,0.620576,0,0,0.000000
30,0,0,0,0,0.000377,0.000397,0.000249,0.000054,1,0.001634,0.000000,0.620576,0,0,0.000000
31,0,0,0,0,0.000173,0.000192,0.000303,0.000064,1,0.001821,0.000000,0.620576,0,0,0.000000
32,0,0,0,0,0.000238,0.003345,0.000365,0.000074,1,0.001982,0.000000,0.620576,0,0,0.000000
33,0,0,0,0,0.003133,0.002408,0.000439,0.000086,1,0.005160,0.000000,0.620576,0,0,0.000000
34,0,0,0,0,0.002104,0.002051,0.000524,0.000099,1,0.007010,0.000000,0.620576,0,0,0.000000
35,0,0,0,0,0.000607,0.001326,0.000622,0.000112,1,0.007349,0.000000,0.620576,0,0,0.000000
36,0,0,0,0,0.000951,0.000494,0.000733,0.000125,1,0.007504,0.000000,0.620576,0,0,0.000000
37,0,0,0,0,0.000669,0.000722,0.000858,0.000139,1,0.007794,0.000000,0.620576,0,0,0.000000
38,0,0,0,0,0.000276,0.001951,0.000996,0.000153,1,0.008664,0.000000,0.620576,0,0,0.000000
39,0,0,0,0,0.002087,0.003090,0.001149,0.000120,1,0.007970,0.000000,0.620576,0,0,0.000000
40,0,0,0,0,0.001017,0.000981,0.001269,0.000105,1,0.010082,0.000000,0.564160,0,0,0.000000
41,0,0,0,0,0.000036,0.000283,0.001374,0.000100,1,0.011485,0.000000,0.564160,0,0,0.000000
42,0,0,0,0,0.000248,0.000270,0.001473,0.000153,1,0.012739,0.000000,0.564160,0,0,0.000000
43,0,0,0,0,0.000518,0.000347,0.001626,0.000233,1,0.013914,0.000000,0.620576,0,0,0.000000
44,0,0,0,0,0.000189,0.000524,0.001860,0.000366,1,0.015620,0.000000,0.200000,0,0,0.000000
45,0,0,0,0,0.000445,0.000830,0.002225,0.000388,1,0.018063,0.000000,0.620576,0,0,0.000000
46,0,0,0,0,0.000441,0.000708,0.002613,0.000404,1,0.020305,0.000000,0.620576,0,0,0.000000
47,0,0,0,0,0.000316,0.000982,0.003017,0.000413,1,0.023563,0.000000,0.620576,0,0,0.000000
48,0,0,0,0,0.000669,0.000681,0.003429,0.000413,1,0.026444,0.000000,0.620576,0,0,0.000000
49,0,0,0,0,0.000080,0.000497,0.003840,0.001291,1,0.030267,0.000000,0.620576,0,0,0.000000
50,0,0,0,0,0.000513,0.001336,0.005116,0.000734,1,0.034934,0.000000,0.507744,0,0,0.000000
51,0,1,0,1,0.000824,0.180130,0.005835,0.143124,1,0.041478,0.000000,0.620576,0,0,0.000000
52,1,0,0,1,0.179475,0.178419,0.146023,0.000487,1,0.031968,0.000000,0.507744,0,0,0.000000
53,1,0,0,1,0.011822,0.240996,0.146380,0.001659,1,0.145512,0.000000,0.620576,0,0,0.000000
54,1,0,1,0,0.241937,0.025581,0.147863,0.001118,1,0.065027,0.000000,0.550056,0,0,0.000000
55,1,0,1,0,0.245288,0.079501,0.148751,0.006792,1,0.056807,0.000000,0.550056,0,0,0.000000
56,1,0,0,0,0.166174,0.009704,0.151306,0.001066,1,0.064391,0.000000,0.550056,0,0,0.000000
57,1,0,0,0,0.162586,0.007678,0.151108,0.011324,1,0.074608,0.000000,0.550056,0,0,0.000000
58,1,0,0,1,0.154958,0.150154,0.139846,0.002373,1,0.088990,0.000000,0.550056,0,0,0.000000
59,1,0,0,1,0.012809,0.127120,0.137675,0.014698,1,0.046858,0.000000,0.493640,0,0,0.000000
60,1,0,0,0,0.131552,0.020576,0.130690,0.001260,1,0.045804,0.000000,0.550056,0,0,0.000000
61,1,0,0,0,0.111159,0.014972,0.129799,0.094733,1,0.064545,0.000000,0.493640,0,0,0.000000
