frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
1,0.000000,static_hold,0.000000,0,0,0,generic_motion_regime_from_se3_and_anchor_state
2,0.033333,short_impact,0.001331,1,0,1,generic_motion_regime_from_se3_and_anchor_state
3,0.066667,sustained_grasp,0.000290,1,1,1,generic_motion_regime_from_se3_and_anchor_state
4,0.100000,sustained_grasp,0.000991,1,1,1,generic_motion_regime_from_se3_and_anchor_state
5,0.133333,static_hold,0.000114,0,0,0,generic_motion_regime_from_se3_and_anchor_state
6,0.166667,static_hold,0.000200,0,0,0,generic_motion_regime_from_se3_and_anchor_state
7,0.200000,static_hold,0.000151,0,0,0,generic_motion_regime_from_se3_and_anchor_state
8,0.233333,static_hold,0.000231,0,0,0,generic_motion_regime_from_se3_and_anchor_state
9,0.266667,static_hold,0.000286,0,0,0,generic_motion_regime_from_se3_and_anchor_state
10,0.300000,static_hold,0.000205,0,0,0,generic_motion_regime_from_se3_and_anchor_state
11,0.333333,static_hold,0.000201,0,0,0,generic_motion_regime_from_se3_and_anchor_state
12,0.366667,sustained_grasp,0.000305,1,1,1,generic_motion_regime_from_se3_and_anchor_state
13,0.400000,sustained_grasp,0.000361,1,1,1,generic_motion_regime_from_se3_and_anchor_state
14,0.433333,static_hold,0.000114,0,0,0,generic_motion_regime_from_se3_and_anchor_state
15,0.466667,sustained_grasp,0.000418,1,1,1,generic_motion_regime_from_se3_and_anchor_state
16,0.500000,sustained_grasp,0.000194,1,1,1,generic_motion_regime_from_se3_and_anchor_state
17,0.533333,sustained_grasp,0.000343,1,1,1,generic_motion_regime_from_se3_and_anchor_state
18,0.566667,sustained_grasp,0.000193,1,1,1,generic_motion_regime_from_se3_and_anchor_state
19,0.600000,sustained_grasp,0.000163,1,1,1,generic_motion_regime_from_se3_and_anchor_state
20,0.633333,sustained_grasp,0.000455,1,1,1,generic_motion_regime_from_se3_and_anchor_state
21,0.666667,sustained_grasp,0.000422,1,1,1,generic_motion_regime_from_se3_and_anchor_state
22,0.700000,sustained_grasp,0.000432,1,1,1,generic_motion_regime_from_se3_and_anchor_state
23,0.733333,sustained_grasp,0.000101,1,1,1,generic_motion_regime_from_se3_and_anchor_state
24,0.766667,sustained_grasp,0.000278,1,1,1,generic_motion_regime_from_se3_and_anchor_state
25,0.800000,sustained_grasp,0.000122,1,1,1,generic_motion_regime_from_se3_and_anchor_state
26,0.833333,sustained_grasp,0.000238,1,1,1,generic_motion_regime_from_se3_and_anchor_state
27,0.866667,sustained_grasp,0.000404,1,1,1,generic_motion_regime_from_se3_and_anchor_state
28,0.900000,sustained_grasp,0.000258,1,1,1,generic_motion_regime_from_se3_and_anchor_state
29,0.933333,sustained_grasp,0.000282,1,1,1,generic_motion_regime_from_se3_and_anchor_state
30,0.966667,sustained_grasp,0.000377,1,1,1,generic_motion_regime_from_se3_and_anchor_state
31,1.000000,sustained_grasp,0.000173,1,1,1,generic_motion_regime_from_se3_and_anchor_state
32,1.033333,sustained_grasp,0.000238,1,1,1,generic_motion_regime_from_se3_and_anchor_state
33,1.066667,sustained_grasp,0.003133,1,1,1,generic_motion_regime_from_se3_and_anchor_state
34,1.100000,sustained_grasp,0.002104,1,1,1,generic_motion_regime_from_se3_and_anchor_state
35,1.133333,sustained_grasp,0.000607,1,1,1,generic_motion_regime_from_se3_and_anchor_state
