frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,584.261,56.618,584.120,57.311,ref,562.681,72.030,human_nearest_mesh_topk,584.260,86.606,86.122,29.988,29.295,bottom_percentile_95,2.878239,2.891261,0.013022,1.000000,0.648611,0.731943,0.669505,0.669505,0.624853,1.789172,0.068050,5.000000,8.000000,left_hand,0.494173,552.557,85.183,4.544759,grid_08_01,2.878239,2.878239,0.669505,0.484529,0.000000,0.598591
2,0.041667,584.236,56.542,584.555,54.876,ref,563.031,72.130,human_nearest_mesh_topk,584.044,84.520,86.010,27.978,29.644,bottom_percentile_95,2.879467,2.892538,0.013072,1.000000,0.000000,0.709560,0.849457,0.849457,0.908639,0.435725,0.171950,5.000000,8.000000,left_hand,0.476076,553.764,86.424,4.536272,grid_08_01,2.880471,2.879467,0.849457,1.490255,0.000000,0.798121
3,0.083333,584.865,53.167,584.755,53.778,ref,569.226,75.841,human_nearest_mesh_topk,583.266,83.748,82.807,30.581,29.970,bottom_percentile_95,2.879202,2.908547,0.029345,1.000000,0.213791,0.601317,0.713333,0.713333,0.326121,3.213899,0.357000,5.000000,8.000000,left_hand,0.492753,555.030,89.982,4.517151,grid_08_01,2.878985,2.879202,0.713333,0.941195,0.000000,0.598591
4,0.125000,585.002,52.396,584.797,52.984,ref,572.360,79.007,human_nearest_mesh_topk,582.106,83.257,82.750,30.861,30.274,bottom_percentile_95,2.911309,2.947602,0.036293,1.000000,0.645252,0.564318,0.829723,0.829723,0.116906,4.211698,0.000000,5.000000,8.000000,left_hand,0.509923,556.530,96.432,4.496558,grid_11_05,2.937579,2.911309,0.829723,0.507429,0.033712,0.399061
5,0.166667,584.352,56.122,584.498,56.346,ref,576.336,85.702,human_nearest_mesh_topk,580.945,87.018,86.955,30.896,30.673,bottom_percentile_95,2.965869,2.997088,0.031218,1.000000,0.623379,0.590843,0.256268,0.256268,0.908639,0.435725,0.337800,5.000000,8.000000,left_hand,0.543555,560.995,106.381,4.486507,grid_11_05,3.010509,2.965869,0.256268,0.063426,0.054454,0.439636
6,0.208333,584.208,63.751,584.063,63.636,ref,578.681,94.957,human_nearest_mesh_topk,580.501,94.463,94.886,30.712,30.827,bottom_percentile_95,2.964343,2.938068,-0.026275,1.000000,0.366210,0.613379,0.529072,0.529072,1.000000,0.000000,0.301900,5.000000,8.000000,left_hand,0.572468,564.461,115.873,4.453803,grid_11_05,2.963094,2.964343,0.529072,0.422867,0.038721,0.586182
7,0.250000,583.615,75.163,583.713,75.460,ref,577.729,106.275,human_nearest_mesh_topk,579.563,106.442,106.057,31.279,30.983,bottom_percentile_95,2.960830,2.969322,0.008492,1.000000,0.000000,0.644333,0.554764,0.554764,0.875662,0.593000,0.000000,5.000000,8.000000,left_hand,0.608619,566.792,126.683,4.437397,grid_11_05,2.957955,2.960830,0.554764,0.385433,0.000000,0.439636
8,0.291667,583.450,90.808,583.443,90.870,ref,576.064,121.474,human_nearest_mesh_topk,577.793,125.017,121.303,34.209,34.147,bottom_percentile_95,2.910273,2.896626,-0.013647,1.000000,0.000000,0.750518,0.948767,0.948767,0.965403,0.165000,0.398950,5.000000,8.000000,left_hand,0.703958,566.548,134.921,4.433537,grid_11_05,2.868908,2.910273,0.948767,3.714090,0.000000,0.293091
9,0.333333,583.428,107.674,583.810,108.369,ref,568.413,134.227,human_nearest_mesh_topk,575.911,138.444,139.853,30.770,30.075,bottom_percentile_95,2.921578,2.924427,0.002849,1.000000,0.000000,0.845389,1.000000,1.000000,0.000000,7.862031,1.284850,5.000000,8.000000,left_hand,0.694785,562.965,138.343,4.441594,grid_09_04,2.930827,2.921578,1.000000,1.408676,0.158874,0.439270
10,0.375000,585.747,124.646,583.493,121.687,ref,591.472,150.758,human_nearest_mesh_topk,575.761,143.179,156.506,18.533,21.492,bottom_percentile_95,2.832575,2.765865,-0.066710,1.000000,0.000000,0.896059,0.000000,0.100000,0.000000,24.942039,1.364800,5.000000,8.000000,right_hand,0.570421,597.463,154.234,4.677231,grid_10_09,2.759754,2.832575,0.000000,13.326843,1.000000,0.658905
