frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
1,0.000000,-0.109743,-0.597319,2.891488,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.261,56.618,584.261,56.618,91.211,91.211,584.261,56.618,91.211,2.891488,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
2,0.041667,-0.109840,-0.597729,2.892750,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.236,56.542,584.236,56.542,91.102,91.102,584.236,56.542,91.102,2.892750,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
3,0.083333,-0.109468,-0.609204,2.915853,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.865,53.167,584.865,53.167,87.942,87.942,584.865,53.167,87.942,2.915853,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
4,0.125000,-0.110061,-0.615574,2.938956,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.002,52.396,585.002,52.396,87.969,87.969,585.002,52.396,87.969,2.938956,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
5,0.166667,-0.111362,-0.608117,2.938956,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.352,56.122,584.352,56.122,92.359,92.359,584.352,56.122,92.359,2.938956,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
6,0.208333,-0.111701,-0.593118,2.940285,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.208,63.751,584.208,63.751,100.364,100.364,584.208,63.751,100.364,2.940285,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
7,0.250000,-0.112888,-0.570271,2.940285,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.615,75.163,583.615,75.163,111.470,111.470,583.615,75.163,111.470,2.940285,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
8,0.291667,-0.113218,-0.538948,2.940285,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.450,90.808,583.450,90.808,126.511,126.511,583.450,90.808,126.511,2.940285,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
9,0.333333,-0.110882,-0.494562,2.878482,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.428,107.674,583.428,107.674,145.020,145.020,583.428,107.674,145.020,2.878482,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
10,0.375000,-0.102408,-0.444255,2.772144,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.747,124.646,585.747,124.646,160.002,160.002,585.747,124.646,160.002,2.772144,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
