frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,visible_fraction,occlusion_state,vlm_visibility,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
11,0.416667,578.998,122.028,578.998,122.028,578.998,122.028,vlm_single_identity_visible_mask,center,578.998,155.322,155.322,33.294,33.294,cotracker_bottom,,,stage2_contact_policy,2.772144,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.772144,2.772144,2.772144,2.772144,1.000000,0.000000,,,33.686
12,0.458333,565.010,99.812,565.010,99.812,565.010,99.812,vlm_single_identity_visible_mask,center,565.010,132.331,132.331,32.519,32.519,cotracker_bottom,,,stage2_contact_policy,2.772144,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.763151,2.772144,2.772144,2.772144,1.000000,0.000000,,,32.015
13,0.500000,550.438,75.710,550.438,75.710,550.438,75.710,vlm_single_identity_visible_mask,center,550.438,109.049,109.049,33.339,33.339,cotracker_bottom,,,stage2_contact_policy,2.772144,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.711953,2.772144,2.772144,2.772144,1.000000,0.000000,,,32.040
14,0.541667,544.387,47.456,544.387,47.456,544.387,47.456,vlm_single_identity_visible_mask,center,544.387,80.105,80.105,32.649,32.649,cotracker_bottom,,,stage2_contact_policy,2.958194,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.958194,2.958194,2.958194,2.958194,1.000000,0.000000,,,34.300
15,0.583333,547.165,23.585,547.165,23.585,547.165,23.585,vlm_single_identity_visible_mask,center,547.165,51.040,51.040,27.455,27.455,cotracker_bottom,,,stage2_contact_policy,3.305994,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.529665,3.305994,3.305994,3.305994,1.000000,0.000000,,,31.332
16,0.625000,550.328,10.800,550.328,10.800,550.328,10.800,vlm_single_identity_visible_mask,center,550.328,23.865,23.865,13.065,13.065,cotracker_bottom,,,stage2_contact_policy,3.529665,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.305994,3.529665,3.529665,3.529665,1.000000,0.000000,,,20.498
17,0.666667,552.687,2.324,552.687,2.324,552.687,2.324,vlm_single_identity_visible_mask,center,552.687,2.840,2.840,0.516,0.516,cotracker_bottom,,,stage2_contact_policy,4.119375,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.119375,4.119375,4.119375,4.119375,1.000000,0.000000,,,7.548
18,0.708333,554.376,-17.466,554.376,-17.466,554.376,-17.466,vlm_out_of_frame_projected_ballistic,center,554.376,53.111,53.111,70.577,70.577,cotracker_bottom,,,stage2_contact_policy,4.120774,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.120774,4.120774,4.120774,4.120774,1.000000,0.000000,,,0.000
19,0.750000,556.180,-26.935,556.180,-26.935,556.180,-26.935,vlm_out_of_frame_projected_ballistic,center,556.180,73.151,73.151,100.086,100.086,cotracker_bottom,,,stage2_contact_policy,4.122174,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.122174,4.122174,4.122174,4.122174,1.000000,0.000000,,,0.000
20,0.791667,558.017,-33.450,558.017,-33.450,558.017,-33.450,vlm_out_of_frame_projected_ballistic,center,558.017,84.589,84.589,118.039,118.039,cotracker_bottom,,,stage2_contact_policy,4.123573,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.123573,4.123573,4.123573,4.123573,1.000000,0.000000,,,0.000
