frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
13,0.500000,mug,552.817,527.303,mug_body_mask,1,552.817,527.303,cotracker_center_fallback,1,552.416,525.387,3960.5,523.000,490.000,584.000,564.000,61.000,74.000,41.644,86.092,63.717,0.824324,0.811558,1,552.407,525.429,524.000,490.000,582.000,563.000,59.000,74.000,unknown,1.000,1.000,0.500000,0.811558,0.811558,1.000000,523.003,529.357,1.000000,579.874,526.235,0.000000,552.696,493.404,0.000000,550.862,563.952,1.000000
14,0.541667,mug,556.293,521.720,mug_body_mask,1,556.293,521.720,cotracker_center_fallback,1,556.252,519.745,4042.5,527.000,484.000,589.000,558.000,62.000,74.000,42.039,83.956,68.620,0.837838,0.839558,1,556.171,519.741,527.000,484.000,587.000,557.000,61.000,74.000,unknown,0.000,1.000,0.500000,0.839558,0.839558,1.000000,526.060,524.568,1.000000,583.581,521.098,0.000000,556.066,488.345,0.000000,554.074,558.752,1.000000
15,0.583333,mug,561.144,513.758,mug_body_mask,1,561.144,513.758,cotracker_center_fallback,1,561.085,513.015,4107.5,532.000,477.000,593.000,552.000,61.000,75.000,42.546,85.323,70.903,0.813333,0.834726,1,560.896,513.068,532.000,477.000,591.000,551.000,60.000,75.000,unknown,0.000,1.000,0.500000,0.834726,0.834726,1.000000,530.426,517.205,1.000000,588.197,513.372,0.000000,560.883,480.611,0.000000,558.684,551.294,1.000000
16,0.625000,mug,566.005,504.557,mug_body_mask,1,566.005,504.557,cotracker_center_fallback,1,565.625,503.752,4024.5,536.000,469.000,598.000,542.000,62.000,73.000,41.703,89.276,66.312,0.849315,0.833492,1,565.475,503.789,536.000,469.000,596.000,541.000,61.000,73.000,unknown,0.000,1.000,0.500000,0.833492,0.833492,1.000000,534.183,508.540,1.000000,592.873,505.087,0.000000,565.241,472.222,0.000000,563.393,542.431,1.000000
17,0.666667,mug,571.517,493.704,mug_body_mask,1,571.517,493.704,cotracker_center_fallback,1,571.931,493.756,4247.5,541.000,457.000,604.000,533.000,63.000,76.000,43.668,84.083,73.531,0.828947,0.805003,1,572.032,493.769,542.000,457.000,602.000,532.000,61.000,76.000,unknown,1.000,1.000,0.500000,0.805003,0.805003,1.000000,539.635,497.980,1.000000,597.888,495.408,0.000000,570.483,461.579,0.000000,568.552,532.050,1.000000
18,0.708333,mug,576.947,481.305,mug_body_mask,1,576.947,481.305,cotracker_center_fallback,1,577.432,482.474,4279.0,547.000,446.000,611.000,523.000,64.000,77.000,43.617,84.417,78.890,0.831169,0.802138,1,577.385,482.487,547.000,446.000,608.000,522.000,62.000,77.000,unknown,0.000,2.000,0.500000,0.802138,0.802138,1.000000,544.938,485.874,1.000000,603.546,484.420,0.000000,575.883,449.959,0.000000,573.834,519.798,1.000000
19,0.750000,mug,584.041,467.744,mug_body_mask,1,584.041,467.744,cotracker_center_fallback,1,584.096,469.803,4388.0,553.000,433.000,619.000,511.000,66.000,78.000,43.188,84.731,73.093,0.846154,0.811258,1,583.936,469.887,553.000,433.000,615.000,510.000,63.000,78.000,right,0.000,3.000,0.500000,0.811258,0.811258,1.000000,551.733,473.013,1.000000,609.946,471.671,0.000000,583.077,436.346,0.000000,580.524,506.596,1.000000
20,0.791667,mug,591.682,453.821,mug_body_mask,1,591.682,453.821,cotracker_center_fallback,1,591.654,457.246,4393.0,561.000,420.000,625.000,498.000,64.000,78.000,43.232,85.621,74.086,0.820513,0.840866,1,591.583,457.217,561.000,420.000,623.000,497.000,63.000,78.000,unknown,0.000,1.000,0.500000,0.840866,0.840866,1.000000,559.094,458.997,1.000000,616.291,458.457,0.000000,589.991,422.570,0.000000,588.267,493.866,1.000000
21,0.833333,mug,598.753,439.467,mug_body_mask,1,598.753,439.467,cotracker_center_fallback,1,597.569,443.164,4454.5,567.000,406.000,631.000,485.000,64.000,79.000,43.530,83.627,78.407,0.810127,0.843303,1,597.535,443.144,567.000,406.000,629.000,484.000,63.000,79.000,unknown,0.000,1.000,0.500000,0.843303,0.843303,1.000000,565.927,444.454,1.000000,622.841,443.984,0.000000,596.787,408.259,0.000000,595.435,479.993,1.000000
22,0.875000,mug,606.754,423.036,mug_body_mask,1,606.754,423.036,cotracker_center_fallback,1,604.921,428.829,4472.0,573.000,391.000,638.000,472.000,65.000,81.000,44.017,86.439,72.864,0.802469,0.819407,1,604.731,428.864,574.000,391.000,636.000,471.000,63.000,81.000,unknown,1.000,1.000,0.500000,0.819407,0.819407,1.000000,574.613,427.919,1.000000,629.819,428.403,0.000000,605.155,392.313,0.000000,603.405,463.878,1.000000
