frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
14,0.433333,654.028,837.859,654.059,837.857,654.059,837.857,center,center,662.500,868.979,868.850,31.120,31.122,bottom_percentile_95,619.485,845.180,human_nearest_mesh_topk,5.076517,5.108186,0.031669,1.000000,0.905558,0.348309,0.959599,0.959599,1.000000,0.007000,0.157000,5.000000,8.000000,left_foot,0.348309,576.834,848.689,6.660299,boundary_021,5.057281,5.036382,5.084563,5.076517,0.959599,0.128743,0.000000,0.000000
15,0.466667,654.155,837.911,654.121,837.870,654.121,837.870,center,center,662.000,868.966,869.000,31.055,31.096,bottom_percentile_95,618.354,844.076,human_nearest_mesh_topk,5.074901,5.164930,0.090029,1.000000,0.993106,0.367900,0.990252,0.990252,0.995193,0.052000,0.022000,5.000000,8.000000,left_foot,0.367900,577.536,848.515,6.666112,boundary_015,5.055132,5.037879,5.073579,5.074901,0.990252,0.034476,0.000000,0.000000
16,0.500000,654.179,837.852,654.210,837.880,654.210,837.880,center,center,662.000,868.975,869.000,31.123,31.095,bottom_percentile_95,618.353,844.051,human_nearest_mesh_topk,5.060778,5.137296,0.076517,1.000000,0.993202,0.380514,1.000000,1.000000,0.998763,0.037000,0.050000,5.000000,8.000000,left_foot,0.380514,578.757,847.591,6.674203,boundary_015,5.027719,5.048080,5.049223,5.060778,1.000000,0.025067,0.000000,0.000000
17,0.533333,654.285,837.889,654.258,837.895,654.258,837.895,center,center,662.000,869.001,869.000,31.112,31.106,bottom_percentile_95,618.351,844.021,human_nearest_mesh_topk,5.054654,5.136624,0.081970,1.000000,1.000000,0.392234,1.000000,1.000000,1.000000,0.013000,0.013000,5.000000,8.000000,left_foot,0.392234,579.845,846.578,6.682101,boundary_015,5.029492,5.049184,5.049644,5.054654,1.000000,0.000533,0.000000,0.000000
18,0.566667,654.347,837.902,654.312,837.899,654.312,837.899,center,center,662.000,868.991,869.000,31.089,31.093,bottom_percentile_95,618.349,843.994,human_nearest_mesh_topk,5.054174,5.148776,0.094602,1.000000,1.000000,0.399645,1.000000,1.000000,0.994955,0.053000,0.000000,5.000000,8.000000,left_foot,0.399645,580.502,845.723,6.680662,boundary_015,5.032811,5.045833,5.053781,5.054174,1.000000,0.008533,0.000000,0.000000
19,0.600000,654.294,837.907,654.342,837.914,654.342,837.914,center,center,663.000,869.012,869.000,31.105,31.098,bottom_percentile_95,618.362,842.009,human_nearest_mesh_topk,5.077824,5.372092,0.294268,1.000000,1.000000,0.382379,0.906274,0.906274,1.000000,0.018000,0.018000,5.000000,8.000000,left_foot,0.382379,579.575,845.512,6.687319,boundary_016,5.076352,5.036422,5.097174,5.077824,0.906274,0.012000,0.000000,0.000000
20,0.633333,654.443,837.902,654.384,837.876,654.384,837.876,center,center,662.000,869.014,869.000,31.112,31.138,bottom_percentile_95,618.349,843.994,human_nearest_mesh_topk,5.083230,5.185002,0.101772,1.000000,1.000000,0.399301,0.927574,0.927574,0.971975,0.149566,0.013000,5.000000,8.000000,left_foot,0.399301,580.468,845.722,6.690660,boundary_015,5.065503,5.030533,5.087653,5.083230,0.927574,0.013600,0.000000,0.000000
21,0.666667,654.378,837.780,654.354,837.798,654.354,837.798,center,center,663.000,868.998,869.000,31.218,31.200,bottom_percentile_95,618.229,842.017,human_nearest_mesh_topk,5.067725,5.325456,0.257731,1.000000,1.000000,0.401900,1.000000,1.000000,0.987578,0.084000,0.000000,5.000000,8.000000,left_foot,0.401900,580.628,845.566,6.698761,boundary_015,5.033823,5.030694,5.055038,5.067725,1.000000,0.002305,0.000000,0.000000
22,0.700000,654.271,837.687,654.298,837.717,654.298,837.717,center,center,664.000,868.984,869.000,31.297,31.267,bottom_percentile_95,619.097,844.776,human_nearest_mesh_topk,5.035391,5.064196,0.028804,1.000000,1.000000,0.385276,0.914945,0.914945,1.000000,0.030000,0.030000,5.000000,8.000000,left_foot,0.385276,579.924,845.406,6.703583,boundary_019,4.989257,5.029874,5.008937,5.035391,0.914945,0.016248,0.000000,0.000000
23,0.733333,654.257,837.717,654.244,837.684,654.244,837.684,center,center,664.000,869.002,869.000,31.285,31.318,bottom_percentile_95,619.098,845.046,human_nearest_mesh_topk,5.019371,5.061946,0.042575,1.000000,1.000000,0.378197,0.913010,0.913010,1.000000,0.030000,0.030000,5.000000,8.000000,left_foot,0.378197,579.150,845.833,6.701982,boundary_019,4.986495,5.018841,5.006263,5.019371,0.913010,0.002381,0.000000,0.000000
