frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_observed_side,handle_visible,handle_conf,handle_center_x,handle_center_y,handle_bbox_x1,handle_bbox_y1,handle_bbox_x2,handle_bbox_y2,handle_area_px,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
12,0.458333,basketball,529.070,517.332,cotracker_center_fallback,1,529.070,517.332,cotracker_center_fallback,1,529.938,516.613,5664.5,487.000,474.000,571.000,560.000,84.000,86.000,527.000,559.000,520.000,534.000,45.213,88.650,82.276,0.976744,0.883380,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.883380,0.883380,0.000000,490.213,509.228,0.000000,565.973,513.060,0.000000,533.247,420.740,0.000000,525.785,551.873,0.000000
13,0.500000,basketball,525.838,485.698,cotracker_center_fallback,1,525.838,485.698,cotracker_center_fallback,1,529.491,484.511,5899.5,487.000,441.000,572.000,529.000,85.000,88.000,526.500,528.000,526.000,527.000,45.350,89.370,84.694,0.965909,0.882335,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.882335,0.882335,0.000000,487.544,477.050,0.000000,564.417,479.105,0.000000,528.512,407.756,0.000000,523.564,520.379,0.000000
14,0.541667,basketball,526.331,459.700,cotracker_center_fallback,1,526.331,459.700,cotracker_center_fallback,1,528.934,458.810,5978.5,486.000,414.000,572.000,504.000,86.000,90.000,531.500,503.000,522.000,541.000,45.746,89.834,85.093,0.955556,0.886100,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.886100,0.886100,0.000000,487.879,451.805,0.000000,564.292,452.617,0.000000,526.843,392.715,0.000000,524.502,495.509,0.000000
15,0.583333,basketball,527.823,438.871,cotracker_center_fallback,1,527.823,438.871,cotracker_center_fallback,1,528.441,438.248,5972.0,486.000,394.000,572.000,483.000,86.000,89.000,527.500,482.000,520.000,535.000,45.256,90.134,84.796,0.966292,0.886614,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.886614,0.886614,0.000000,487.386,431.168,0.000000,565.577,433.233,0.000000,527.446,378.685,0.000000,525.126,474.873,0.000000
16,0.625000,basketball,527.348,423.359,cotracker_center_fallback,1,527.348,423.359,cotracker_center_fallback,1,529.474,423.556,6054.5,487.000,379.000,572.000,468.000,85.000,89.000,529.000,467.000,523.000,535.000,46.477,89.347,87.428,0.955056,0.893149,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.893149,0.893149,0.000000,486.409,416.726,0.000000,565.330,417.590,0.000000,527.805,370.530,0.000000,525.446,461.324,0.000000
17,0.666667,basketball,529.287,416.293,cotracker_center_fallback,1,529.287,416.293,cotracker_center_fallback,1,530.326,414.719,6024.0,488.000,368.000,573.000,460.000,85.000,92.000,532.000,459.000,523.000,541.000,46.884,90.500,85.270,0.923913,0.870240,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.870240,0.870240,0.000000,487.827,409.523,0.000000,567.477,411.288,0.000000,530.563,370.200,1.000000,527.759,453.518,0.000000
18,0.708333,basketball,530.680,417.553,cotracker_center_fallback,1,530.680,417.553,cotracker_center_fallback,1,531.267,415.876,5845.5,489.000,371.000,574.000,460.000,85.000,89.000,535.000,459.000,527.000,543.000,45.717,88.378,84.433,0.955056,0.876332,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.876332,0.876332,0.000000,489.466,410.288,0.000000,567.942,413.471,0.000000,532.801,374.228,0.000000,528.749,454.033,0.000000
19,0.750000,basketball,533.560,433.814,cotracker_center_fallback,1,533.560,433.814,cotracker_center_fallback,1,531.925,431.464,5827.0,490.000,387.000,574.000,475.000,84.000,88.000,532.000,474.000,521.000,543.000,46.570,90.244,83.992,0.954545,0.849330,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.849330,0.849330,0.000000,492.793,426.680,0.000000,570.086,429.039,0.000000,538.875,391.953,0.000000,529.003,472.306,0.000000
20,0.791667,basketball,534.040,482.778,cotracker_center_fallback,1,534.040,482.778,cotracker_center_fallback,1,533.410,477.472,5531.5,492.000,437.000,576.000,520.000,84.000,83.000,524.000,519.000,522.000,526.000,45.025,86.559,83.103,1.012048,0.853506,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.853506,0.853506,0.000000,496.321,474.910,0.000000,571.138,479.422,0.000000,538.593,435.654,0.000000,531.007,513.813,0.000000
21,0.833333,basketball,535.175,540.956,cotracker_center_fallback,1,535.175,540.956,cotracker_center_fallback,1,538.061,535.289,5548.0,495.000,494.000,580.000,577.000,85.000,83.000,539.000,576.000,533.000,545.000,45.027,85.991,83.539,1.024096,0.857509,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.857509,0.857509,0.000000,500.724,530.784,0.000000,575.030,536.352,0.000000,538.622,460.416,0.000000,535.815,569.194,0.000000
