frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_observed_side,handle_visible,handle_conf,handle_center_x,handle_center_y,handle_bbox_x1,handle_bbox_y1,handle_bbox_x2,handle_bbox_y2,handle_area_px,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
43,1.750000,basketball,508.005,427.318,cotracker_center_fallback,1,508.005,427.318,cotracker_center_fallback,1,514.454,424.810,6469.0,469.000,377.000,560.000,471.000,91.000,94.000,516.000,470.000,511.000,521.000,47.605,92.248,90.510,0.968085,0.866753,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.866753,0.866753,0.000000,479.028,430.289,0.000000,556.980,449.495,0.000000,502.866,385.080,0.000000,516.212,463.645,0.000000
44,1.791667,basketball,509.638,424.541,cotracker_center_fallback,1,509.638,424.541,cotracker_center_fallback,1,514.873,423.036,6510.5,470.000,375.000,560.000,469.000,90.000,94.000,515.000,468.000,506.000,524.000,47.556,92.341,90.416,0.957447,0.880426,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.880426,0.880426,0.000000,480.343,426.623,0.000000,557.190,448.128,0.000000,504.803,381.496,0.000000,516.154,460.859,0.000000
45,1.833333,basketball,515.492,431.106,cotracker_center_fallback,1,515.492,431.106,cotracker_center_fallback,1,517.683,428.924,6426.5,472.000,384.000,564.000,475.000,92.000,91.000,518.500,474.000,515.000,522.000,47.982,92.726,87.947,1.010989,0.873810,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.873810,0.873810,0.000000,482.448,431.325,0.000000,561.860,452.104,0.000000,507.349,386.415,0.000000,520.560,468.636,0.000000
46,1.875000,basketball,521.052,450.454,cotracker_center_fallback,1,521.052,450.454,cotracker_center_fallback,1,522.376,445.347,6348.5,477.000,396.000,568.000,492.000,91.000,96.000,524.000,491.000,516.000,532.000,49.025,93.743,86.488,0.947917,0.871052,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.871052,0.871052,0.000000,485.212,449.282,0.000000,568.141,460.395,0.000000,510.715,405.165,0.000000,527.299,488.988,0.000000
47,1.916667,basketball,527.895,485.366,cotracker_center_fallback,1,527.895,485.366,cotracker_center_fallback,1,528.583,481.110,6293.5,482.000,431.000,574.000,525.000,92.000,94.000,525.000,524.000,517.000,533.000,48.391,94.039,86.449,0.978723,0.837371,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.837371,0.837371,0.000000,489.625,478.138,0.000000,572.643,480.584,0.000000,517.925,437.591,0.000000,531.004,522.473,0.000000
48,1.958333,basketball,536.808,534.688,cotracker_center_fallback,1,536.808,534.688,cotracker_center_fallback,1,538.357,531.465,6143.5,493.000,485.000,582.000,578.000,89.000,93.000,533.500,577.000,531.000,536.000,49.885,95.609,82.833,0.956989,0.841806,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.841806,0.841806,0.000000,501.450,518.398,0.000000,577.734,522.950,0.000000,530.773,471.915,0.000000,537.862,569.268,0.000000
49,2.000000,basketball,548.897,592.756,cotracker_center_fallback,1,548.897,592.756,cotracker_center_fallback,1,549.651,587.124,6470.0,504.000,540.000,594.000,632.000,90.000,92.000,562.500,631.000,560.000,565.000,48.185,93.062,90.631,0.978261,0.867692,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.867692,0.867692,0.000000,514.272,572.997,0.000000,584.335,584.008,0.000000,539.227,501.258,0.000000,548.337,628.131,0.000000
50,2.041667,basketball,555.445,624.880,cotracker_center_fallback,1,555.445,624.880,cotracker_center_fallback,1,557.627,626.542,5778.0,513.000,586.000,602.000,669.000,89.000,83.000,560.500,668.000,554.000,567.000,44.702,88.478,83.432,1.072289,0.887010,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.887010,0.887010,0.000000,522.630,602.386,0.000000,591.904,614.052,0.000000,543.870,503.036,0.000000,550.619,659.836,0.000000
51,2.083333,basketball,561.590,581.902,cotracker_center_fallback,1,561.590,581.902,cotracker_center_fallback,1,561.559,580.711,5994.0,518.000,538.000,607.000,624.000,89.000,86.000,567.000,623.000,561.000,573.000,46.237,90.664,84.727,1.034884,0.877770,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.877770,0.877770,0.000000,524.307,563.164,0.000000,597.280,570.656,0.000000,551.456,498.632,0.000000,556.724,617.338,0.000000
52,2.125000,basketball,564.316,540.207,cotracker_center_fallback,1,564.316,540.207,cotracker_center_fallback,1,565.930,537.383,6083.0,521.000,488.000,611.000,581.000,90.000,93.000,571.000,580.000,563.000,579.000,47.868,90.958,86.574,0.967742,0.851824,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.851824,0.851824,0.000000,526.425,527.940,0.000000,601.778,533.033,0.000000,554.851,481.499,0.000000,558.846,575.927,0.000000
53,2.166667,basketball,571.752,505.622,cotracker_center_fallback,1,571.752,505.622,cotracker_center_fallback,1,571.501,505.412,5656.5,526.000,462.000,616.000,547.000,90.000,85.000,569.000,546.000,560.000,578.000,44.883,89.046,81.466,1.058824,0.863956,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.863956,0.863956,0.000000,531.908,498.297,0.000000,607.456,503.965,0.000000,557.201,458.206,0.000000,563.785,542.225,0.000000
54,2.208333,basketball,579.247,478.847,cotracker_center_fallback,1,579.247,478.847,cotracker_center_fallback,1,576.799,477.199,6139.0,531.000,431.000,622.000,521.000,91.000,90.000,573.000,520.000,564.000,582.000,46.847,92.486,84.793,1.011111,0.862458,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.862458,0.862458,0.000000,537.033,474.718,0.000000,612.340,478.921,0.000000,560.425,436.286,0.000000,570.229,515.945,0.000000
55,2.250000,basketball,582.655,459.220,cotracker_center_fallback,1,582.655,459.220,cotracker_center_fallback,1,581.282,456.792,6206.0,536.000,412.000,626.000,502.000,90.000,90.000,577.500,501.000,572.000,583.000,46.945,91.769,86.770,1.000000,0.874707,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.874707,0.874707,0.000000,543.460,457.337,0.000000,614.711,460.682,0.000000,567.026,416.321,0.000000,574.092,496.631,0.000000
56,2.291667,basketball,590.001,444.529,cotracker_center_fallback,1,590.001,444.529,cotracker_center_fallback,1,587.140,442.641,6269.0,542.000,398.000,632.000,489.000,90.000,91.000,587.500,488.000,582.000,593.000,47.220,90.519,88.497,0.989011,0.873862,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.873862,0.873862,0.000000,551.089,442.380,0.000000,620.883,448.312,0.000000,575.936,401.966,0.000000,580.396,482.231,0.000000
57,2.333333,basketball,595.282,438.518,cotracker_center_fallback,1,595.282,438.518,cotracker_center_fallback,1,593.628,435.768,6048.0,548.000,393.000,639.000,480.000,91.000,87.000,592.500,479.000,584.000,601.000,46.387,91.177,84.553,1.045977,0.875744,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.875744,0.875744,0.000000,557.513,435.076,0.000000,626.036,443.005,0.000000,584.404,393.615,0.000000,584.695,475.234,0.000000
58,2.375000,basketball,602.024,437.688,cotracker_center_fallback,1,602.024,437.688,cotracker_center_fallback,1,599.380,434.825,6323.0,554.000,391.000,645.000,480.000,91.000,89.000,595.500,479.000,586.000,605.000,47.670,92.943,87.697,1.022472,0.870582,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.870582,0.870582,0.000000,564.499,433.461,0.000000,631.963,442.280,0.000000,593.757,392.337,0.000000,589.963,474.542,0.000000
59,2.416667,basketball,606.735,446.864,cotracker_center_fallback,1,606.735,446.864,cotracker_center_fallback,1,605.262,442.879,6178.5,560.000,400.000,651.000,487.000,91.000,87.000,605.500,486.000,597.000,614.000,47.035,90.072,88.261,1.045977,0.858707,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.858707,0.858707,0.000000,568.833,442.577,0.000000,638.429,450.740,0.000000,601.752,401.836,0.000000,596.583,482.725,0.000000
60,2.458333,basketball,614.211,471.285,cotracker_center_fallback,1,614.211,471.285,cotracker_center_fallback,1,611.716,467.378,5989.0,569.000,426.000,656.000,512.000,87.000,86.000,610.500,511.000,605.000,616.000,46.761,89.138,87.333,1.011628,0.861171,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.861171,0.861171,0.000000,576.286,466.198,0.000000,645.332,472.128,0.000000,610.379,425.213,0.000000,605.138,507.724,0.000000
61,2.500000,basketball,618.083,516.286,cotracker_center_fallback,1,618.083,516.286,cotracker_center_fallback,1,617.032,514.752,5813.0,575.000,473.000,661.000,557.000,86.000,84.000,614.500,556.000,607.000,622.000,46.388,87.025,86.420,1.023810,0.852091,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.852091,0.852091,0.000000,583.310,508.778,0.000000,649.980,512.025,0.000000,612.662,463.999,0.000000,611.525,554.132,0.000000
62,2.541667,basketball,619.454,576.719,cotracker_center_fallback,1,619.454,576.719,cotracker_center_fallback,1,620.467,574.480,5963.5,577.000,531.000,665.000,617.000,88.000,86.000,621.500,616.000,612.000,631.000,46.101,89.474,85.793,1.023256,0.867791,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.867791,0.867791,0.000000,586.937,565.895,0.000000,653.658,567.235,0.000000,611.971,500.118,0.000000,613.676,612.291,0.000000
63,2.583333,basketball,620.935,622.173,cotracker_center_fallback,1,620.935,622.173,cotracker_center_fallback,1,622.704,623.870,5893.0,579.000,585.000,668.000,664.000,89.000,79.000,620.000,663.000,603.000,637.000,46.303,90.494,86.585,1.126582,0.888787,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.888787,0.888787,0.000000,590.537,608.117,0.000000,657.308,616.086,0.000000,608.982,510.782,0.000000,612.968,660.670,0.000000
64,2.625000,basketball,613.193,584.890,cotracker_center_fallback,1,613.193,584.890,cotracker_center_fallback,1,617.920,580.863,6129.0,574.000,540.000,664.000,624.000,90.000,84.000,612.000,623.000,607.000,617.000,47.080,91.700,86.340,1.071429,0.881302,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.881302,0.881302,0.000000,585.080,568.834,0.000000,649.260,573.062,0.000000,606.115,504.514,0.000000,610.390,617.907,0.000000
65,2.666667,basketball,614.500,536.500,cotracker_box_center,1,614.500,536.500,cotracker_box_center,1,614.205,537.819,5801.5,572.000,495.000,658.000,579.000,86.000,84.000,610.000,578.000,601.000,619.000,46.239,90.250,83.409,1.023810,0.872659,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,1.000000,0.872659,1.000000,1.000000,572.000,537.831,1.000000,657.000,537.831,1.000000,614.194,495.000,1.000000,614.194,578.000,1.000000
66,2.708333,basketball,610.860,505.848,cotracker_center_fallback,1,610.860,505.848,cotracker_center_fallback,1,609.008,503.863,6055.5,565.000,456.000,652.000,548.000,87.000,92.000,608.500,547.000,600.000,617.000,47.271,92.972,83.583,0.945652,0.875387,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.500000,0.875387,0.875387,1.000000,568.297,520.894,0.000000,652.175,511.426,1.000000,610.416,470.551,0.000000,609.488,543.740,1.000000
67,2.750000,basketball,603.875,480.160,cotracker_center_fallback,1,603.875,480.160,cotracker_center_fallback,1,602.950,478.970,5898.5,558.000,431.000,644.000,523.000,86.000,92.000,597.500,522.000,597.000,598.000,47.448,93.004,82.596,0.934783,0.839298,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.839298,0.839298,1.000000,561.919,497.060,0.000000,643.677,487.797,0.000000,605.106,449.446,0.000000,601.485,518.492,1.000000
68,2.791667,basketball,599.698,461.189,cotracker_center_fallback,1,599.698,461.189,cotracker_center_fallback,1,596.794,460.288,5875.0,551.000,416.000,640.000,504.000,89.000,88.000,596.500,503.000,590.000,603.000,46.503,89.588,83.392,1.011364,0.862363,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.862363,0.862363,1.000000,558.705,474.386,0.000000,636.489,470.671,0.000000,602.405,432.116,0.000000,595.255,498.244,1.000000
69,2.833333,basketball,596.625,449.974,cotracker_center_fallback,1,596.625,449.974,cotracker_center_fallback,1,592.128,448.466,5934.5,546.000,405.000,636.000,491.000,90.000,86.000,594.500,490.000,587.000,602.000,46.322,92.471,82.679,1.046512,0.865592,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.865592,0.865592,1.000000,556.822,458.830,0.000000,631.775,461.047,0.000000,600.023,422.068,0.000000,591.211,485.739,1.000000
70,2.875000,basketball,592.364,445.020,cotracker_center_fallback,1,592.364,445.020,cotracker_center_fallback,1,588.541,443.859,6133.0,543.000,399.000,634.000,488.000,91.000,89.000,590.000,487.000,585.000,595.000,47.024,92.168,85.506,1.022472,0.857674,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.857674,0.857674,1.000000,553.583,451.761,0.000000,626.715,458.227,0.000000,597.458,418.773,0.000000,584.734,480.373,1.000000
71,2.916667,basketball,589.351,446.269,cotracker_center_fallback,1,589.351,446.269,cotracker_center_fallback,1,585.340,444.983,6343.0,540.000,402.000,631.000,490.000,91.000,88.000,583.500,489.000,578.000,589.000,47.364,92.189,88.427,1.034091,0.866601,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.866601,0.866601,1.000000,551.285,452.211,0.000000,624.177,460.423,0.000000,595.951,423.732,0.000000,580.072,480.715,1.000000
72,2.958333,basketball,582.337,460.624,cotracker_center_fallback,1,582.337,460.624,cotracker_center_fallback,1,581.652,457.673,6291.0,536.000,416.000,628.000,503.000,92.000,87.000,580.000,502.000,575.000,585.000,47.866,92.580,87.331,1.057471,0.859497,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.859497,0.859497,1.000000,544.661,461.448,0.000000,619.709,478.093,0.000000,592.107,437.656,0.000000,570.906,494.643,1.000000
73,3.000000,basketball,576.040,491.129,cotracker_center_fallback,1,576.040,491.129,cotracker_center_fallback,1,576.278,490.060,6023.0,532.000,448.000,621.000,533.000,89.000,85.000,570.500,532.000,562.000,579.000,47.130,90.658,85.804,1.047059,0.866060,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.866060,0.866060,1.000000,538.068,496.711,0.000000,616.179,502.673,0.000000,585.831,462.924,0.000000,567.455,527.702,1.000000
74,3.041667,basketball,567.917,538.055,cotracker_center_fallback,1,567.917,538.055,cotracker_center_fallback,1,567.209,536.859,6263.5,522.000,494.000,613.000,579.000,91.000,85.000,564.500,578.000,552.000,577.000,47.730,91.919,88.698,1.070588,0.868537,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.868537,0.868537,1.000000,529.077,543.754,0.000000,610.642,541.097,0.000000,576.912,502.410,0.000000,565.435,576.333,1.000000
75,3.083333,basketball,559.457,602.595,cotracker_center_fallback,1,559.457,602.595,cotracker_center_fallback,1,558.470,599.942,5723.5,515.000,555.000,603.000,643.000,88.000,88.000,554.500,642.000,551.000,558.000,45.833,90.637,80.546,1.000000,0.862125,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.862125,0.862125,0.000000,523.557,600.928,0.000000,602.095,598.987,0.000000,565.335,561.359,0.000000,561.321,641.587,1.000000
76,3.125000,basketball,548.267,617.725,cotracker_center_fallback,1,548.267,617.725,cotracker_center_fallback,1,547.739,613.533,6020.5,503.000,567.000,592.000,658.000,89.000,91.000,540.500,657.000,533.000,548.000,46.876,91.673,84.163,0.978022,0.858639,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.858639,0.858639,0.000000,513.912,618.918,0.000000,590.229,612.343,0.000000,558.217,572.100,0.000000,552.101,652.696,1.000000
77,3.166667,basketball,535.419,573.049,cotracker_center_fallback,1,535.419,573.049,cotracker_center_fallback,1,535.473,569.287,5836.5,492.000,527.000,579.000,613.000,87.000,86.000,535.500,612.000,532.000,539.000,45.140,89.654,83.293,1.011628,0.887198,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.887198,0.887198,0.000000,503.089,574.368,0.000000,577.535,570.633,0.000000,543.031,530.744,0.000000,538.266,606.722,1.000000
78,3.208333,basketball,525.723,531.022,cotracker_center_fallback,1,525.723,531.022,cotracker_center_fallback,1,524.821,530.529,6323.0,481.000,485.000,569.000,580.000,88.000,95.000,527.000,579.000,527.000,527.000,47.813,91.967,88.098,0.926316,0.871742,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.871742,0.871742,0.000000,492.604,537.383,0.000000,566.259,534.345,0.000000,535.112,495.224,0.000000,523.127,567.526,1.000000
79,3.250000,basketball,519.381,497.002,cotracker_center_fallback,1,519.381,497.002,cotracker_center_fallback,1,515.989,496.625,6004.0,472.000,452.000,562.000,541.000,90.000,89.000,512.500,540.000,506.000,519.000,45.989,88.717,85.612,1.011236,0.861670,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.861670,0.861670,0.000000,486.734,506.808,0.000000,560.767,502.593,0.000000,529.504,467.702,0.000000,513.638,532.073,1.000000
80,3.291667,basketball,513.327,472.308,cotracker_center_fallback,1,513.327,472.308,cotracker_center_fallback,1,508.793,471.081,5927.5,465.000,426.000,553.000,515.000,88.000,89.000,506.000,514.000,500.000,512.000,46.626,90.307,83.870,0.988764,0.859711,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.859711,0.859711,0.000000,482.446,482.921,0.000000,552.849,478.842,0.000000,523.719,448.685,0.000000,505.256,505.264,1.000000
81,3.333333,basketball,505.081,454.618,cotracker_center_fallback,1,505.081,454.618,cotracker_center_fallback,1,503.901,452.361,6052.0,461.000,406.000,548.000,496.000,87.000,90.000,501.500,495.000,492.000,511.000,46.860,91.271,86.469,0.966667,0.862547,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.862547,0.862547,0.000000,476.314,466.859,0.000000,543.399,461.730,0.000000,516.413,435.508,0.000000,496.540,487.356,1.000000
82,3.375000,basketball,503.947,447.231,cotracker_center_fallback,1,503.947,447.231,cotracker_center_fallback,1,500.880,444.075,6187.5,457.000,397.000,546.000,489.000,89.000,92.000,498.000,488.000,490.000,506.000,47.602,90.872,86.812,0.967391,0.863897,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.863897,0.863897,0.000000,475.767,460.820,0.000000,541.525,455.533,0.000000,515.095,430.319,0.000000,495.924,479.685,1.000000
83,3.416667,basketball,502.438,449.081,cotracker_center_fallback,1,502.438,449.081,cotracker_center_fallback,1,498.409,444.675,6281.0,454.000,397.000,544.000,490.000,90.000,93.000,497.500,489.000,489.000,506.000,47.278,91.257,88.079,0.967742,0.854591,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.854591,0.854591,0.000000,473.934,461.604,0.000000,539.147,458.616,0.000000,512.793,432.567,0.000000,494.814,481.247,1.000000
84,3.458333,basketball,499.349,463.893,cotracker_center_fallback,1,499.349,463.893,cotracker_center_fallback,1,495.641,461.482,6217.0,452.000,416.000,541.000,507.000,89.000,91.000,500.500,506.000,497.000,504.000,46.704,90.544,88.412,0.978022,0.869421,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.869421,0.869421,0.000000,469.362,470.362,0.000000,536.900,473.725,0.000000,510.373,441.307,0.000000,492.903,495.752,1.000000
85,3.500000,basketball,492.456,496.093,cotracker_center_fallback,1,492.456,496.093,cotracker_center_fallback,1,494.856,495.485,6065.5,451.000,447.000,538.000,541.000,87.000,94.000,493.500,540.000,482.000,505.000,47.806,93.691,82.958,0.925532,0.862235,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.862235,0.862235,0.000000,465.058,505.539,0.000000,533.632,504.283,0.000000,505.393,468.748,0.000000,490.266,532.318,0.000000
86,3.541667,basketball,496.503,546.665,cotracker_center_fallback,1,496.503,546.665,cotracker_center_fallback,1,495.302,547.520,5723.5,454.000,502.000,537.000,592.000,83.000,90.000,496.500,591.000,496.000,497.000,46.902,89.380,83.059,0.922222,0.844321,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.844321,0.844321,0.000000,466.228,549.116,0.000000,538.638,549.876,0.000000,507.297,508.440,0.000000,497.310,583.748,0.000000
87,3.583333,basketball,493.254,609.215,cotracker_center_fallback,1,493.254,609.215,cotracker_center_fallback,1,496.819,604.252,5844.0,454.000,561.000,542.000,646.000,88.000,85.000,481.500,645.000,480.000,483.000,45.560,89.263,84.789,1.035294,0.865568,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.865568,0.865568,0.000000,465.188,607.287,0.000000,534.576,608.427,0.000000,504.331,563.887,0.000000,493.896,636.929,0.000000
88,3.625000,basketball,493.822,604.176,cotracker_center_fallback,1,493.822,604.176,cotracker_center_fallback,1,495.996,602.115,5628.0,453.000,561.000,541.000,642.000,88.000,81.000,485.500,641.000,482.000,489.000,44.967,89.370,81.741,1.086420,0.879191,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.879191,0.879191,0.000000,465.832,602.741,0.000000,535.457,603.235,0.000000,505.078,561.776,0.000000,494.333,632.258,0.000000
89,3.666667,basketball,493.930,555.947,cotracker_center_fallback,1,493.930,555.947,cotracker_center_fallback,1,492.204,554.392,6371.5,448.000,505.000,537.000,601.000,89.000,96.000,492.500,600.000,489.000,496.000,48.395,93.936,86.571,0.927083,0.863572,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.863572,0.863572,0.000000,463.836,561.234,0.000000,536.917,555.048,0.000000,504.929,515.103,0.000000,493.200,591.960,0.000000
90,3.708333,basketball,494.840,516.461,cotracker_center_fallback,1,494.840,516.461,cotracker_center_fallback,1,490.975,518.439,6138.0,447.000,474.000,536.000,562.000,89.000,88.000,488.500,561.000,479.000,498.000,47.846,92.155,85.642,1.011364,0.874804,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.874804,0.874804,0.000000,463.939,526.210,0.000000,535.888,521.791,0.000000,506.648,482.487,0.000000,492.489,554.777,0.000000
91,3.750000,basketball,497.092,487.136,cotracker_center_fallback,1,497.092,487.136,cotracker_center_fallback,1,490.734,487.212,6206.0,447.000,440.000,535.000,531.000,88.000,91.000,486.500,530.000,477.000,496.000,47.747,92.597,86.809,0.967033,0.865900,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.865900,0.865900,0.000000,465.055,497.143,0.000000,535.824,495.048,0.000000,505.916,459.788,0.000000,493.079,523.565,0.000000
92,3.791667,basketball,497.702,464.992,cotracker_center_fallback,1,497.702,464.992,cotracker_center_fallback,1,490.250,462.944,6547.5,447.000,415.000,537.000,509.000,90.000,94.000,488.000,508.000,479.000,497.000,48.546,93.374,89.858,0.957447,0.885430,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.885430,0.885430,0.000000,466.488,473.702,0.000000,533.490,477.049,0.000000,506.985,441.388,0.000000,491.014,500.826,0.000000
93,3.833333,basketball,499.072,452.431,cotracker_center_fallback,1,499.072,452.431,cotracker_center_fallback,1,492.100,449.093,6352.5,447.000,402.000,538.000,495.000,91.000,93.000,490.500,494.000,483.000,498.000,46.812,90.523,89.245,0.978495,0.867661,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.867661,0.867661,0.000000,467.571,461.436,0.000000,532.764,464.755,0.000000,506.938,431.549,0.000000,491.807,487.869,0.000000
94,3.875000,basketball,502.272,444.268,cotracker_center_fallback,1,502.272,444.268,cotracker_center_fallback,1,494.355,441.060,6426.0,449.000,394.000,541.000,487.000,92.000,93.000,490.000,486.000,486.000,494.000,47.409,91.376,89.602,0.989247,0.867617,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.867617,0.867617,0.000000,472.733,454.795,0.000000,536.522,458.234,0.000000,508.993,425.486,0.000000,497.098,480.346,0.000000
95,3.916667,basketball,503.570,444.514,cotracker_center_fallback,1,503.570,444.514,cotracker_center_fallback,1,497.545,440.803,6326.5,453.000,395.000,543.000,486.000,90.000,91.000,500.500,485.000,489.000,512.000,47.162,92.302,87.922,0.989011,0.876445,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.876445,0.876445,0.000000,474.614,454.252,0.000000,538.210,458.520,0.000000,510.605,426.145,0.000000,499.454,480.560,0.000000
96,3.958333,basketball,508.172,453.557,cotracker_center_fallback,1,508.172,453.557,cotracker_center_fallback,1,502.187,451.165,6714.0,459.000,400.000,548.000,500.000,89.000,100.000,501.500,499.000,494.000,509.000,50.747,97.873,88.219,0.890000,0.834818,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.834818,0.834818,0.000000,479.641,464.644,0.000000,544.634,465.586,0.000000,516.191,430.718,0.000000,506.379,490.218,0.000000
97,4.000000,basketball,509.000,486.500,cotracker_box_center,1,509.000,486.500,cotracker_box_center,1,509.150,487.226,6230.5,466.000,443.000,553.000,531.000,87.000,88.000,511.000,530.000,500.000,522.000,49.251,92.522,88.035,0.988636,0.824223,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,1.000000,0.824223,1.000000,1.000000,466.000,487.203,1.000000,552.000,487.203,1.000000,509.149,443.000,1.000000,509.149,530.000,1.000000
98,4.041667,basketball,518.841,541.737,cotracker_lr_center,1,518.841,541.737,cotracker_lr_center,1,521.776,546.715,5742.5,479.000,504.000,565.000,587.000,86.000,83.000,516.000,586.000,514.000,518.000,45.926,88.081,86.034,1.036145,0.871690,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.500000,0.871690,0.871690,1.000000,478.691,543.455,1.000000,558.990,540.019,1.000000,521.676,480.711,0.000000,522.052,582.292,0.000000
99,4.083333,basketball,535.908,614.311,cotracker_center_fallback,1,535.908,614.311,cotracker_center_fallback,1,534.046,611.212,5831.0,489.000,566.000,578.000,655.000,89.000,89.000,534.500,654.000,532.000,537.000,45.857,88.176,83.701,1.000000,0.844322,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.844322,0.844322,1.000000,493.167,611.049,1.000000,569.019,603.173,0.000000,529.978,496.020,0.000000,536.704,648.302,0.000000
100,4.125000,basketball,544.560,611.858,cotracker_center_fallback,1,544.560,611.858,cotracker_center_fallback,1,540.362,608.504,5920.0,496.000,565.000,584.000,652.000,88.000,87.000,539.000,651.000,531.000,547.000,45.464,88.903,85.521,1.011494,0.871858,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.871858,0.871858,1.000000,500.325,606.501,1.000000,575.149,600.612,0.000000,535.103,499.916,0.000000,543.666,646.444,0.000000
