frame,time,tx,ty,tz,radius_m,yaw,pitch,roll,scale,grasp_correction_m,grasp_audio_weight,grasp_active
58,2.375000,-0.281658546,-0.603422128,3.827033416,0.08,-0.334618201,-0.508679577,-0.276343038,1.074613753,0.115202506,0.000000,1
59,2.416667,-0.281266599,-0.604971933,3.826701748,0.08,-0.322400442,-0.529959883,-0.292305136,1.057066217,0.118733765,0.000000,1
60,2.458333,-0.282739801,-0.606564828,3.824653523,0.08,-0.321991850,-0.541754416,-0.315022049,1.057122057,0.120000000,0.000000,1
61,2.500000,-0.285037323,-0.608454847,3.821381230,0.08,-0.295210611,-0.537284710,-0.344778050,1.079310979,0.120000000,0.000000,1
62,2.541667,-0.286859382,-0.610710212,3.817381046,0.08,-0.268671643,-0.532136015,-0.374299924,1.073439578,0.120000000,0.135335,1
63,2.583333,-0.288195347,-0.613501463,3.813152636,0.08,-0.242404892,-0.526318491,-0.403558950,1.060494006,0.120000000,0.249352,1
64,2.625000,-0.289078470,-0.616858570,3.808999260,0.08,-0.216438321,-0.519843379,-0.432528404,1.089136909,0.120000000,0.411112,1
65,2.666667,-0.289588846,-0.620705347,3.805064006,0.08,-0.190797781,-0.512722900,-0.461183690,1.079210625,0.120000000,0.606531,1
66,2.708333,-0.289820735,-0.624932642,3.801438889,0.08,-0.165506921,-0.504970156,-0.489502438,1.079939348,0.120000000,0.800737,1
67,2.750000,-0.289879128,-0.629368850,3.798138807,0.08,-0.140587122,-0.496599015,-0.517464562,1.079345036,0.120000000,0.945959,1
68,2.791667,-0.289861424,-0.633871950,3.795097547,0.08,-0.116057479,-0.487624011,-0.545052289,1.059010248,0.120000000,1.000000,1
69,2.833333,-0.289802737,-0.638436455,3.792290664,0.08,-0.091934796,-0.478060234,-0.572250163,1.102821621,0.120000000,0.945959,1
70,2.875000,-0.289748059,-0.642980836,3.789922759,0.08,-0.068233623,-0.467923227,-0.599045009,1.099613156,0.120000000,0.800737,1
71,2.916667,-0.289693362,-0.647307912,3.788380744,0.08,-0.004637753,-0.454906477,-0.629962838,1.092401464,0.120000000,0.606531,1
72,2.958333,-0.289602250,-0.651034485,3.788257251,0.08,0.008659274,-0.497693759,-0.784242831,1.029876422,0.120000000,0.411112,1
73,3.000000,-0.289576264,-0.653605207,3.789663518,0.08,0.012727538,-0.524213637,-0.794167151,1.021011909,0.120000000,0.411112,1
74,3.041667,-0.289698527,-0.654993622,3.792252609,0.08,-0.018646987,-0.551490700,-0.776393374,1.022268942,0.120000000,0.606531,1
75,3.083333,-0.289999089,-0.655561431,3.795472760,0.08,-0.063435073,-0.583661355,-0.771285533,1.029706648,0.120000000,0.800737,1
76,3.125000,-0.290409240,-0.655728378,3.798807270,0.08,-0.082828528,-0.619007964,-0.760909911,1.038734751,0.120000000,0.945959,1
77,3.166667,-0.290801930,-0.655754551,3.801899654,0.08,-0.081600384,-0.683003733,-0.783173359,1.033393911,0.120000000,1.000000,1
78,3.208333,-0.291033091,-0.655719879,3.804475168,0.08,-0.082379764,-0.708232858,-0.789092537,1.033983911,0.120000000,0.945959,1
79,3.250000,-0.290969982,-0.655736669,3.806291694,0.08,-0.106145241,-0.726111970,-0.768572397,1.029238037,0.120000000,0.800737,1
80,3.291667,-0.290454362,-0.656251746,3.806902064,0.08,-0.143840521,-0.750466418,-0.739441334,1.029389030,0.120000000,0.606531,1
81,3.333333,-0.289397072,-0.657814355,3.805655046,0.08,-0.157416958,-0.761078223,-0.738703493,1.042080841,0.120000000,0.606531,1
82,3.375000,-0.288014562,-0.660679439,3.802101935,0.08,-0.133439296,-0.734878730,-0.763748672,1.033688939,0.120000000,0.800737,1
83,3.416667,-0.286867381,-0.664567577,3.796512156,0.08,-0.034225476,-0.641817044,-0.837961271,1.039543302,0.120000000,0.945959,1
84,3.458333,-0.286509848,-0.668357429,3.790041711,0.08,0.144116373,-0.454330474,-0.916707489,1.038685914,0.120000000,1.000000,1
85,3.500000,-0.286790092,-0.670567436,3.784353111,0.08,0.316322266,-0.242876329,-0.956933554,1.035619638,0.120000000,0.945959,1
86,3.541667,-0.286935749,-0.670382039,3.780662661,0.08,0.475997037,-0.063612847,-0.793424055,1.081706415,0.120000000,0.800737,1
87,3.583333,-0.286233555,-0.667893383,3.779146913,0.08,0.570773535,0.060032590,-0.764083631,1.074677309,0.120000000,0.606531,1
88,3.625000,-0.284514773,-0.662848733,3.779057074,0.08,0.610906507,0.124241884,-0.727617901,1.075273854,0.120000000,0.411112,1
89,3.666667,-0.281966715,-0.655371967,3.779545154,0.08,0.685301162,0.135106272,-0.463528220,1.099843520,0.120000000,0.249352,1
90,3.708333,-0.278933002,-0.646373889,3.779908532,0.08,0.733225695,0.154761862,-0.362446816,1.057638842,0.120000000,0.135335,1
91,3.750000,-0.275751233,-0.636288878,3.779331539,0.08,0.774395336,0.144971374,-0.335605210,1.024579781,0.120000000,0.000000,1
92,3.791667,-0.278899885,-0.624444036,3.781928188,0.08,0.808242098,0.124430655,-0.317418164,1.043676824,0.112032248,0.000000,1
93,3.833333,-0.279472845,-0.611435762,3.781824769,0.08,0.837123481,0.100440814,-0.296547423,1.064906853,0.106507020,0.000000,1
94,3.875000,-0.277047893,-0.597014562,3.778859971,0.08,0.865988990,0.068278532,-0.265193085,1.079909735,0.103457866,0.000000,1
95,3.916667,-0.271173867,-0.580975940,3.773759461,0.08,0.885981519,0.047528811,-0.236270548,1.094826866,0.102505049,0.000000,1
96,3.958333,-0.261159791,-0.563098867,3.767958711,0.08,0.907258297,0.019687165,-0.203770698,1.087831612,0.103109525,0.000000,1
97,4.000000,-0.246109848,-0.543055424,3.763127219,0.08,0.920762460,0.003533475,-0.171777133,1.125731984,0.104968007,0.000000,1
98,4.041667,-0.225422116,-0.520505345,3.760229026,0.08,0.930235119,-0.008069442,-0.145442601,1.119788484,0.108111151,0.000000,1
99,4.083333,-0.199185481,-0.495203229,3.760327499,0.08,0.939696090,-0.025052888,-0.121849498,1.140207599,0.113124887,0.135335,1
100,4.125000,-0.169170570,-0.467100937,3.764389867,0.08,0.952305896,-0.055250377,-0.094733608,1.158663831,0.120000000,0.249352,1
101,4.166667,-0.146209978,-0.437414209,3.774179736,0.08,0.018479253,-0.093971499,-0.005430718,1.133551505,0.120000000,0.411112,1
102,4.208333,-0.126455119,-0.406709792,3.780412093,0.08,0.018827882,-0.087170294,-0.005011982,1.126526675,0.120000000,0.606531,1
103,4.250000,-0.108886293,-0.375262258,3.781973479,0.08,0.019157245,-0.075970311,-0.004826703,1.134533321,0.120000000,0.800737,1
104,4.291667,-0.092567827,-0.343697050,3.780635082,0.08,0.019420603,-0.067149790,-0.003992451,1.132156715,0.120000000,0.945959,1
105,4.333333,-0.076228003,-0.313423717,3.781499023,0.08,0.019549297,-0.058600833,-0.002775715,1.136495430,0.120000000,1.000000,1
106,4.375000,-0.059639541,-0.284694410,3.786413198,0.08,0.019559103,-0.055120710,-0.001384396,1.132130366,0.120000000,0.945959,1
107,4.416667,-0.043274390,-0.257377495,3.795406447,0.08,0.019757497,-0.051387547,-0.001290368,1.135701272,0.120000000,0.800737,1
108,4.458333,-0.031574649,-0.232438226,3.808112316,0.08,0.020202453,-0.045929336,-0.001697644,1.139460684,0.115984765,0.606531,1
109,4.500000,-0.026249001,-0.210291325,3.822947996,0.08,0.020814514,-0.040329299,-0.001459943,1.143754268,0.106681381,0.411112,1
110,4.541667,-0.022362307,-0.189470759,3.837365645,0.08,0.021514725,-0.034452953,-0.001046434,1.153416816,0.097919226,0.249352,1
111,4.583333,-0.019255124,-0.169795972,3.851243487,0.08,0.022205055,-0.030090250,-0.000942033,1.159544912,0.090715593,0.135335,1
112,4.625000,-0.016258122,-0.151075878,3.864774096,0.08,0.023016950,-0.027202690,-0.000728183,1.164074383,0.085746453,0.000000,1
