frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
1,right_hand,penetration,0.1007,0.1343,0.1200,2.21
2,right_hand,touch,0.0767,0.1207,0.1200,2.74
3,right_hand,touch,0.0715,0.1207,0.1200,3.11
4,right_hand,touch,0.0654,0.1207,0.1200,3.25
5,right_hand,touch,0.0696,0.1208,0.1200,2.90
6,right_hand,touch,0.0692,0.1209,0.1200,2.25
7,right_hand,penetration,0.0855,0.1334,0.1200,1.39
15,right_hand,penetration,0.1179,0.1285,0.1200,0.37
16,right_hand,penetration,0.1022,0.1210,0.1200,0.62
17,right_hand,touch,0.0917,0.1209,0.1200,0.92
18,right_hand,touch,0.0964,0.1211,0.1200,0.85
19,right_hand,touch,0.0961,0.1216,0.1200,0.83
20,right_hand,penetration,0.0873,0.1209,0.1200,0.88
25,right_hand,penetration,0.0805,0.1374,0.1200,1.63
26,right_hand,touch,0.0799,0.1210,0.1200,2.25
27,right_hand,touch,0.0771,0.1224,0.1200,2.39
28,right_hand,touch,0.0827,0.1222,0.1200,2.27
29,right_hand,touch,0.0903,0.1222,0.1200,2.03
30,right_hand,touch,0.0882,0.1216,0.1200,1.80
31,right_hand,touch,0.0930,0.1226,0.1200,1.56
32,right_hand,touch,0.0875,0.1215,0.1200,1.49
33,right_hand,touch,0.0784,0.1218,0.1200,1.42
34,right_hand,penetration,0.0870,0.1211,0.1200,1.21
38,right_hand,penetration,0.0659,0.1329,0.1200,2.06
39,right_hand,touch,0.0678,0.1210,0.1200,2.61
40,right_hand,touch,0.0757,0.1239,0.1200,2.44
41,right_hand,touch,0.0778,0.1217,0.1200,2.16
42,right_hand,touch,0.0871,0.1220,0.1200,1.86
43,right_hand,touch,0.0959,0.1246,0.1200,1.69
44,right_hand,touch,0.0916,0.1222,0.1200,1.62
45,right_hand,touch,0.0903,0.1212,0.1200,1.68
46,right_hand,touch,0.0857,0.1210,0.1200,1.76
47,right_hand,touch,0.0863,0.1209,0.1200,1.62
48,right_hand,penetration,0.1002,0.1406,0.1200,1.17
52,right_hand,penetration,0.0850,0.1387,0.1200,1.55
53,right_hand,penetration,0.0797,0.1207,0.1200,2.01
