frame,time,refined_time,source,evidence,event_type,interaction_mode,contact_quality,impact,relevant,target_entity,contact_target,contact_constraint,object_local_x,object_local_y,object_local_z,semantic_contact_part,vlm_hand_part,vlm_handle_contact,vlm_rim_contact,vlm_constraint,vlm_object_conf,contact_state,interval_id,stable_entity,manip_gamma,manip_weight,promote_anchor,allow_slide,audio_support,confidence
3,0.08,0.1,audio,audio,none,none,na,medium,0,right_hand,part,none,,,,,,,,,,no_contact,-1,none,0.8,0.0,0,0,0.07,0.8
22,0.875,0.8984,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,0,right_hand,1.0,0.5,0,0,0.067,0.8
43,1.744,1.7284,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.057,0.8
48,1.964,1.9467,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,1,right_hand,1.0,0.5,0,0,0.106,0.8
58,2.36,2.4084,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.212,0.8
64,2.616,2.7684,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.669,0.8
67,2.768,2.7684,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.669,0.8
73,2.992,2.9934,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.592,0.8
76,3.12,2.9934,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.592,0.8
79,3.264,3.3934,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.43,0.8
83,3.416,3.3901,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.419,0.8
87,3.584,3.5517,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.299,0.8
105,4.344,4.3367,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,2,right_hand,1.0,0.5,0,0,0.05,0.8
114,4.7083,4.7817,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,2,right_hand,1.0,0.5,0,0,0.053,0.8
121,5.0,4.9834,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,2,right_hand,1.0,0.5,0,0,0.055,0.8
135,5.584,5.5767,audio,audio,strike,impulsive,hard,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,2,right_hand,1.0,1.0,1,0,0.672,0.8
143,5.92,5.9151,audio,audio,strike,impulsive,hard,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,2,right_hand,1.0,1.0,1,0,1.0,0.8
173,7.184,7.1051,audio,audio,strike,impulsive,hard,light,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.064,0.8
180,7.464,7.5717,audio,audio,tap,impulsive,soft,light,1,right_hand,part,point,,,,,,,,,,direct_contact,3,right_hand,1.0,0.5,0,0,0.045,0.8
189,7.84,7.9567,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.054,0.8
