frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
1,0.000000,4.978518,6.766020,0.649648,3.802511,3660,0.066105,0.2781,1.8191,mask
2,0.033333,5.010702,6.781476,0.614371,3.954393,3746,0.053441,0.2096,1.5692,mask
3,0.066667,5.029645,6.765339,0.537128,4.291889,3740,0.083432,0.3570,1.7976,mask
4,0.100000,5.039014,6.748597,0.406050,4.868356,3754,0.067042,0.2704,1.6105,mask
5,0.133333,5.044037,6.709994,0.236647,5.615485,3759,0.049857,0.2075,1.6875,mask
6,0.166667,5.051712,6.676452,0.068349,6.358664,3750,0.036903,0.1490,1.5999,mask
7,0.200000,5.018432,6.641366,-0.060272,6.927036,3750,0.000000,-0.0577,0.7528,mask
8,0.233333,5.033464,6.616540,-0.133386,7.250482,3749,0.000000,-0.0556,0.7580,mask
9,0.266667,5.056804,6.605717,-0.159954,7.368428,3746,0.000000,-0.0597,0.7439,mask
10,0.300000,5.046318,6.624508,-0.158414,7.361870,3754,0.032614,0.1249,1.5081,mask
11,0.333333,5.011930,6.619372,-0.137409,7.268034,3678,0.001665,0.0049,0.9938,mask
12,0.366667,5.008771,6.631459,-0.088165,7.046809,3766,0.000000,-0.0294,0.9105,mask
13,0.400000,5.058230,6.651026,0.004657,6.628945,3706,0.000840,0.0025,0.9710,mask
14,0.433333,5.057251,6.684009,0.144746,5.996840,3703,0.023083,0.0662,0.9281,mask
15,0.466667,5.046692,6.721341,0.317417,5.214279,3754,0.044938,0.1296,0.8892,mask
16,0.500000,4.995581,6.736231,0.500198,4.379502,3766,0.108200,0.3234,0.9619,mask
17,0.533333,4.990591,6.742005,0.677329,3.561558,3688,0.090004,0.2858,1.1717,mask
18,0.566667,5.034978,6.789462,0.839523,2.803496,3688,0.100369,0.3162,1.1478,mask
19,0.600000,5.032687,6.785486,0.968866,2.191722,3684,0.120358,0.3903,1.2111,mask
20,0.633333,5.024534,6.773414,1.034142,1.875382,3688,0.141432,0.5327,1.5635,mask
21,0.666667,5.026580,6.792356,1.014163,1.955978,3695,0.192272,0.6059,1.1377,mask
22,0.700000,4.968983,6.956530,0.925467,2.357901,3698,0.330746,0.4859,0.0000,mask
23,0.733333,4.969255,6.913234,0.816815,2.854274,3698,0.369495,0.5423,0.0000,mask
24,0.766667,4.992065,6.887905,0.734100,3.230847,3692,0.341733,0.5123,0.0260,mask
25,0.800000,5.017563,6.875806,0.693342,3.412558,3697,0.308482,0.4775,0.0534,mask
26,0.833333,4.967618,6.846117,0.682103,3.457688,3693,0.377791,0.5499,0.0000,mask
27,0.866667,4.936559,6.818862,0.678451,3.469650,3691,0.418510,0.6053,0.0000,mask
28,0.900000,4.974598,6.832780,0.671235,3.501472,3693,0.360084,0.5391,0.0308,mask
29,0.933333,4.984068,6.841029,0.669436,3.511007,3690,0.343724,0.5104,0.0254,mask
30,0.966667,5.009950,6.865258,0.691536,3.410445,3695,0.279707,0.4202,0.0316,mask
31,1.000000,4.972424,6.842644,0.740038,3.186591,3703,0.209073,0.3272,0.0713,mask
32,1.033333,4.987478,6.748644,0.788321,2.963698,3702,0.251893,0.6878,0.8616,mask
33,1.066667,4.986894,6.873895,0.798776,2.918719,3707,0.330226,0.5335,0.0990,mask
34,1.100000,4.981132,6.865511,0.752469,3.141267,3705,0.330447,0.5282,0.0883,mask
35,1.133333,4.984609,6.870543,0.657155,3.594880,3711,0.298590,0.4395,0.0000,mask
36,1.166667,5.009745,6.760482,0.534308,4.177639,3722,0.200262,0.4923,0.6678,mask
37,1.200000,4.996688,6.813381,0.406823,4.780612,3791,0.137618,0.2096,0.0000,mask
38,1.233333,4.992908,6.780751,0.294797,5.308859,3792,0.341463,0.5202,0.0000,mask
39,1.266667,4.946669,6.747294,0.212429,5.696479,3763,0.170377,0.2618,0.0000,mask
40,1.300000,4.927386,6.701362,0.162378,5.932226,3678,0.059133,0.1544,0.7431,mask
41,1.333333,4.928481,6.700439,0.131936,6.075826,3654,0.000000,-0.0221,0.6776,mask
42,1.366667,4.916405,6.688554,0.102099,6.215431,3687,0.046558,0.1968,1.8291,mask
43,1.400000,4.928169,6.697390,0.067705,6.375225,3805,0.000000,-0.0661,0.5204,mask
44,1.433333,4.925622,6.693728,0.042455,6.492285,3807,0.000000,-0.0283,0.5722,mask
45,1.466667,4.870403,6.694887,0.036937,6.517043,3817,0.031587,0.0542,0.1377,mask
46,1.500000,4.927240,6.690580,0.042731,6.486794,3824,0.093230,0.2103,0.4778,mask
47,1.533333,4.824258,6.687608,0.047789,6.457064,3828,0.117103,0.1776,0.0000,mask
48,1.566667,4.761168,6.679328,0.055296,6.416055,3827,0.000000,-0.2139,0.0000,mask
49,1.600000,4.762081,6.679925,0.074522,6.325045,3823,0.069462,0.1046,0.0000,mask
50,1.633333,4.899824,6.701662,0.102034,6.201712,3766,0.279169,0.4173,0.0000,mask
51,1.666667,4.762490,6.698882,0.124323,6.106794,3812,0.062561,0.0970,0.0000,mask
52,1.700000,5.983817,6.725456,0.134645,6.068085,3939,0.000000,-0.1194,3.0692,mask
53,1.733333,5.990024,6.782565,0.137357,6.063132,4047,0.038056,0.1933,0.8796,mask
54,1.766667,6.775159,6.754504,0.137058,6.070461,4691,0.000000,-0.0371,3.8138,mask
55,1.800000,5.738413,6.801876,0.128888,6.112969,4314,0.017380,0.2351,0.4695,mask
56,1.833333,6.012111,6.780486,0.101934,6.240444,4753,0.012100,0.1414,0.8263,mask
57,1.866667,5.103264,6.736793,0.052618,6.468269,4895,0.016690,0.1284,0.0000,mask
58,1.900000,6.248387,6.707957,-0.006591,6.739447,4753,0.000000,-0.1391,4.5621,mask
59,1.933333,6.245068,6.699117,-0.053052,6.952464,4858,0.000000,-0.0711,4.5666,mask
60,1.966667,6.149175,6.683974,-0.066740,7.018554,4915,0.000000,-0.1030,1.9994,mask
61,2.000000,6.060888,6.699624,-0.038368,6.896783,4936,0.000000,-0.2731,1.2223,mask
62,2.033333,6.453699,6.737867,0.026871,6.609858,4840,0.000000,-0.1873,6.7136,mask
63,2.066667,6.561456,6.771245,0.109503,6.243567,4667,0.008650,0.3809,3.3637,mask
64,2.100000,6.535888,6.786380,0.187056,5.896886,4824,0.003452,0.1817,4.0285,mask
65,2.133333,6.500915,6.770591,0.253312,5.596136,4820,0.004377,0.2984,4.8299,mask
66,2.166667,5.978879,6.715094,0.325985,5.260917,4845,0.001303,0.0899,5.9327,mask
67,2.200000,6.140672,6.717369,0.430505,4.777216,5086,0.001696,0.1574,7.5370,mask
68,2.233333,6.153141,6.707802,0.571716,4.124545,5000,0.001975,0.1745,7.3029,mask
69,2.266667,6.406492,6.770809,0.721028,3.433657,4913,0.005061,0.4221,7.3625,mask
70,2.300000,6.312925,6.705373,0.835930,2.898678,4968,0.003141,0.5048,14.9331,mask
71,2.333333,6.441098,6.889252,0.893289,2.626345,4966,0.010062,0.6063,4.9781,mask
72,2.366667,6.341188,6.866927,0.897535,2.597725,5006,0.010423,0.5007,3.9321,mask
73,2.400000,6.363208,6.780501,0.857986,2.769663,5268,0.010672,0.6799,5.6254,mask
74,2.433333,6.360960,6.755914,0.773365,3.145624,5036,0.011007,0.6648,5.8022,mask
75,2.466667,6.418242,6.779274,0.645428,3.716013,4963,0.013873,0.5613,4.1212,mask
76,2.500000,6.548334,6.768542,0.496257,4.381123,5328,0.011095,0.4595,3.4719,mask
77,2.533333,6.518302,6.704687,0.363126,4.974191,4982,0.007935,0.3076,3.8060,mask
78,2.566667,6.862388,6.640925,0.280395,5.342726,5228,0.004460,0.2568,6.4419,mask
79,2.600000,6.845765,6.625539,0.270041,5.390616,5049,0.003297,0.2017,7.8031,mask
80,2.633333,6.394752,6.650822,0.344217,5.065459,4971,0.004290,0.2154,5.6829,mask
81,2.666667,6.542673,6.638007,0.507616,4.345818,4947,0.002979,0.2249,9.1988,mask
82,2.700000,6.550207,6.610710,0.751261,3.267433,4883,0.003582,0.2791,13.1289,mask
83,2.733333,6.545900,6.601906,1.043982,1.962770,4985,0.003385,0.2936,13.3352,mask
84,2.766667,7.097418,6.618323,1.336359,0.648671,4824,0.007366,0.5123,15.7716,mask
85,2.800000,8.958256,6.819880,1.580017,-0.455108,4504,0.009757,0.6348,21.0142,mask
86,2.833333,7.543684,6.798244,1.744694,-1.204215,4912,0.009553,0.6552,14.7075,mask
87,2.866667,5.822411,6.944677,1.815712,-1.527127,4284,0.024929,0.6618,5.1169,mask
88,2.900000,12.470757,6.699621,1.781873,-1.377514,5137,0.004050,0.6689,40.8084,mask
89,2.933333,12.440328,6.715994,1.640888,-0.755176,4966,0.005015,0.6700,35.6704,mask
90,2.966667,14.079420,6.820634,1.423892,0.193563,4877,0.004553,0.6799,34.9239,mask
91,3.000000,8.180018,7.075533,1.202434,1.149136,4037,0.013453,0.4024,5.8613,mask
