frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
100,4.125000,left,bottom,568.586,64.861,62.844194,62.844194,0.001240,0.001240,none,0,0
101,4.166667,left,bottom,569.309,44.968,65.800876,65.800876,0.150660,0.000689,none,0,0
102,4.208333,left,bottom,569.483,27.887,67.703746,67.703746,0.106522,0.000466,none,0,0
103,4.250000,left,bottom,571.492,16.084,68.175236,68.175236,0.065354,0.000422,none,0,0
104,4.291667,left,grid_11_06,574.270,9.693,68.881592,68.881592,0.226265,0.000363,none,0,0
109,4.500000,left,left,545.682,17.776,47.614356,47.614356,0.513837,0.016631,none,0,0
110,4.541667,left,left,544.958,33.407,37.072422,37.072422,0.398285,0.065956,none,0,0
111,4.583333,left,left,544.485,53.155,27.149039,27.149039,0.176349,0.176349,none,0,0
112,4.625000,left,left,544.707,77.507,13.658481,13.658481,0.412413,0.412413,proposal,0,0
113,4.666667,left,left,546.867,104.885,5.989100,5.989100,0.520383,0.520383,soft,0,0
114,4.708333,left,top,554.498,94.098,16.637988,16.637988,0.429470,0.358785,proposal,0,0
115,4.750000,left,top,553.824,124.445,4.959857,4.959857,1.000000,0.529512,soft,1,1
116,4.791667,left,top,553.827,114.863,14.105841,14.105841,1.000000,0.404584,proposal,1,1
117,4.833333,left,left,543.873,129.898,14.831321,14.831321,0.391686,0.391686,proposal,0,0
118,4.875000,left,bottom,585.483,118.028,37.699532,37.699532,0.061352,0.061352,none,0,0
119,4.916667,left,bottom,584.674,98.827,56.075985,56.075985,0.004294,0.004294,none,0,0
120,4.958333,left,bottom,584.534,83.029,72.949755,72.949755,0.000149,0.000149,none,0,0
121,5.000000,left,bottom,583.207,70.726,86.109875,86.109875,0.000006,0.000006,none,0,0
122,5.041667,left,bottom,582.720,62.165,95.522003,95.522003,0.000000,0.000000,none,0,0
123,5.083333,left,bottom,582.391,57.927,100.828722,100.828722,0.000000,0.000000,none,0,0
124,5.125000,left,left,551.596,41.799,118.828402,118.828402,0.000000,0.000000,none,0,0
125,5.166667,left,left,552.259,45.408,117.915339,117.915339,0.000000,0.000000,none,0,0
126,5.208333,left,left,554.308,51.039,114.549236,114.549236,0.000000,0.000000,none,0,0
127,5.250000,left,left,555.750,60.691,107.812209,107.812209,0.000000,0.000000,none,0,0
128,5.291667,left,right,607.498,82.068,97.212702,97.212702,0.000000,0.000000,none,0,0
129,5.333333,left,right,610.107,101.786,82.188462,82.188462,0.000016,0.000016,none,0,0
130,5.375000,right,right,612.207,124.927,56.669393,56.669393,0.381106,0.003873,none,0,0
131,5.416667,right,right,611.291,145.299,28.756837,28.756837,1.000000,0.153508,none,1,1
132,5.458333,right,right,604.852,137.023,22.846482,22.846482,1.000000,0.245776,none,1,1
133,5.500000,right,right,591.378,111.081,31.900663,31.900663,0.286701,0.114373,none,0,0
134,5.541667,left,right,571.941,82.667,43.179952,43.179952,0.030957,0.030957,none,0,0
135,5.583333,left,right,545.042,59.182,32.916481,32.916481,0.103323,0.103323,none,0,0
136,5.625000,left,right,520.205,37.512,42.049311,42.049311,1.000000,0.035920,none,1,1
137,5.666667,left,right,496.152,20.250,63.507233,63.507233,1.000000,0.001090,none,0,0
177,7.333333,left,grid_04_08,296.841,61.603,239.150192,239.150192,1.000000,0.000000,none,0,0
178,7.375000,left,grid_05_08,331.037,65.924,209.400653,209.400653,1.000000,0.000000,none,0,0
179,7.416667,left,grid_05_08,362.055,69.274,183.195961,183.195961,0.000000,0.000000,none,0,0
180,7.458333,left,grid_05_08,393.239,75.159,155.845635,155.845635,0.000000,0.000000,none,0,0
181,7.500000,left,grid_05_08,424.840,82.840,128.066241,128.066241,0.000000,0.000000,none,0,0
182,7.541667,left,grid_05_08,456.145,95.073,98.619714,98.619714,0.000000,0.000000,none,0,0
183,7.583333,left,grid_05_09,494.264,106.364,62.620535,62.620535,0.001295,0.001295,none,0,0
184,7.625000,left,bottom,521.294,152.513,35.968851,35.968851,0.415114,0.074692,none,0,0
185,7.666667,left,bottom,538.050,165.684,22.539399,22.539399,0.499319,0.251120,proposal,0,0
186,7.708333,left,bottom,545.486,172.720,14.207659,14.207659,0.402788,0.402788,proposal,0,0
187,7.750000,left,bottom,551.624,182.656,12.008783,12.008783,0.440262,0.440262,proposal,1,0
188,7.791667,left,bottom,555.559,195.227,18.078784,18.078784,0.332132,0.332132,proposal,0,0
189,7.833333,left,bottom,557.674,212.131,33.311724,33.311724,0.099232,0.099232,none,0,0
190,7.875000,left,bottom,558.262,230.737,55.276573,55.276573,0.004927,0.004927,none,0,0
191,7.916667,left,bottom,559.188,251.288,82.534648,82.534648,0.000015,0.000015,none,0,0
192,7.958333,left,bottom,562.335,271.409,111.353746,111.353746,0.000000,0.000000,none,0,0
193,8.000000,left,left,535.185,265.100,112.361685,112.361685,0.000000,0.000000,none,0,0
194,8.041667,left,top,556.644,267.383,120.880095,120.880095,0.000000,0.000000,none,0,0
195,8.083333,left,top,565.238,281.113,138.898375,138.898375,0.000000,0.000000,none,0,0
196,8.125000,left,left,559.275,308.128,166.573805,166.573805,0.000000,0.000000,none,0,0
197,8.166667,left,left,565.902,316.299,174.106548,174.106548,0.000000,0.000000,none,0,0
198,8.208333,right,bottom,603.541,333.520,182.333887,182.333887,0.000000,0.000000,none,0,0
199,8.250000,right,bottom,605.680,334.671,181.215211,181.215211,0.000000,0.000000,none,0,0
200,8.291667,right,bottom,605.041,334.332,178.143502,178.143502,0.000000,0.000000,none,0,0
201,8.333333,right,left,565.584,319.754,168.314314,168.314314,0.000000,0.000000,none,0,0
202,8.375000,right,left,563.202,316.664,162.111930,162.111930,0.000000,0.000000,none,0,0
203,8.416667,right,top,574.377,297.335,135.332400,135.332400,0.000000,0.000000,none,0,0
204,8.458333,right,left,553.342,307.161,147.501590,147.501590,0.000000,0.000000,none,0,0
