frame,time,delta_x,delta_y,delta_z,delta_norm_m,body_center_err_before_px,body_center_err_after_px,contact_err_before_px,contact_err_after_px
1,0.000000,-0.003119383,-0.023754937,0.000009816,0.023958875,8.981676,0.196780,14.242087,11.895598
2,0.041667,-0.002021871,-0.017561041,0.000004116,0.017677052,6.793317,0.319001,12.314026,10.780956
3,0.083333,-0.000865123,-0.010855004,0.000002454,0.010889424,4.074812,0.091396,11.255112,10.810658
4,0.125000,0.000050787,-0.004086551,0.000015545,0.004086896,1.655964,0.166579,9.970466,9.778112
5,0.166667,0.000593250,0.003409968,-0.000013458,0.003461215,1.192767,0.125958,9.993311,9.695861
6,0.208333,0.000642912,0.008833718,-0.000031496,0.008857139,3.096851,0.141836,10.456607,9.629383
7,0.250000,0.000586426,0.013043298,-0.000050111,0.013056570,4.563418,0.278297,10.953403,9.168405
8,0.291667,0.002625145,0.015408682,-0.000056735,0.015630806,5.519416,0.192177,12.620062,9.622927
9,0.333333,0.003089250,0.016933770,-0.000059927,0.017213356,6.246917,0.055744,13.697474,10.429800
10,0.375000,0.002019593,0.017548181,-0.000066299,0.017664139,6.318292,0.173715,14.026689,10.877124
11,0.416667,0.002514137,0.017549776,-0.000057116,0.017729038,6.391649,0.121625,15.261316,12.249690
12,0.458333,0.004438545,0.018342452,-0.000026981,0.018871856,6.816911,0.119065,18.742352,15.391699
13,0.500000,0.005529766,0.019243356,-0.000012829,0.020022118,7.204745,0.150403,21.626658,17.969041
14,0.541667,0.006632890,0.020843294,-0.000020394,0.021873238,7.946368,0.116064,25.294826,21.217836
15,0.583333,0.007156489,0.022815705,-0.000043713,0.023911789,8.676835,0.139850,28.177776,23.710306
16,0.625000,0.010104450,0.026296193,-0.000048815,0.028170767,10.308121,0.083190,32.334676,26.532878
17,0.666667,0.012121371,0.029451163,-0.000059285,0.031848111,11.713766,0.085201,23.785020,16.331922
18,0.708333,0.012593112,0.031179077,-0.000072887,0.033626279,12.263798,0.143630,23.865101,16.050392
19,0.750000,0.011517263,0.030829951,-0.000072501,0.032911070,11.978142,0.194386,24.910798,17.632044
20,0.791667,0.011923687,0.027404748,-0.000077066,0.029886459,10.789501,0.256664,26.514565,19.894838
21,0.833333,0.012755027,0.024879278,-0.000078225,0.027958457,10.303622,0.080055,27.279444,21.015342
22,0.875000,0.014394640,0.020927510,-0.000062052,0.025400200,9.235201,0.225270,27.919081,21.654035
23,0.916667,0.013012632,0.017373237,-0.000048305,0.021706227,7.753805,0.314934,27.662134,22.183205
24,0.958333,0.011453251,0.013970233,0.000004977,0.018065004,6.598179,0.158868,26.970572,22.340297
25,1.000000,0.007761097,0.008887065,0.000007320,0.011798924,,,,
26,1.041667,0.004235062,0.004517082,0.000002364,0.006191913,,,,
27,1.083333,0.001724254,0.001602895,0.000000132,0.002354214,,,,
28,1.125000,0.000284986,0.000040085,-0.000000209,0.000287791,,,,
29,1.166667,-0.000350232,-0.000576916,-0.000000098,0.000674903,,,,
30,1.208333,-0.000502106,-0.000660538,-0.000000016,0.000829712,,,,
31,1.250000,-0.000425463,-0.000514648,0.000000004,0.000667743,,,,
32,1.291667,-0.000280920,-0.000319178,0.000000004,0.000425195,,,,
33,1.333333,-0.000149315,-0.000157562,0.000000001,0.000217073,,,,
34,1.375000,-0.000058815,-0.000053384,-0.000000000,0.000079430,,,,
35,1.416667,-0.000009589,-0.000000690,-0.000000000,0.000009614,,,,
36,1.458333,0.000009220,0.000016487,-0.000000000,0.000018890,,,,
37,1.500000,0.000010270,0.000014242,-0.000000000,0.000017559,,,,
38,1.541667,0.000004487,0.000005578,0.000000000,0.000007159,,,,
39,1.583333,0.000000874,0.000000829,0.000000000,0.000001205,,,,
40,1.625000,-0.000000263,-0.000000479,0.000000000,0.000000547,,,,
41,1.666667,-0.000000308,-0.000000429,-0.000000000,0.000000528,,,,
42,1.708333,-0.000000137,-0.000000171,-0.000000000,0.000000219,,,,
43,1.750000,-0.000000028,-0.000000027,-0.000000000,0.000000038,,,,
44,1.791667,0.000000007,0.000000014,0.000000000,0.000000016,,,,
45,1.833333,0.000000009,0.000000013,0.000000000,0.000000016,,,,
46,1.875000,0.000000004,0.000000005,0.000000000,0.000000007,,,,
47,1.916667,0.000000001,0.000000001,-0.000000000,0.000000001,,,,
48,1.958333,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
49,2.000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
50,2.041667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
51,2.083333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
52,2.125000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
53,2.166667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
54,2.208333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
55,2.250000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
56,2.291667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
57,2.333333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
58,2.375000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
59,2.416667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
60,2.458333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
61,2.500000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
62,2.541667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
63,2.583333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
64,2.625000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
65,2.666667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
66,2.708333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
67,2.750000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
68,2.791667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
69,2.833333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
70,2.875000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
71,2.916667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
72,2.958333,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
73,3.000000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
74,3.041667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
75,3.083333,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
76,3.125000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
77,3.166667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
78,3.208333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
79,3.250000,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
80,3.291667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
81,3.333333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
82,3.375000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
83,3.416667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
84,3.458333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
85,3.500000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
86,3.541667,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
87,3.583333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
88,3.625000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
89,3.666667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
90,3.708333,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
91,3.750000,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
92,3.791667,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
93,3.833333,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
94,3.875000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
95,3.916667,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
96,3.958333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
97,4.000000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
98,4.041667,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
99,4.083333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
100,4.125000,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
101,4.166667,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
102,4.208333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
103,4.250000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
104,4.291667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
105,4.333333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
106,4.375000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
107,4.416667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
108,4.458333,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
109,4.500000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
110,4.541667,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
111,4.583333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
112,4.625000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
113,4.666667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
114,4.708333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
115,4.750000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
116,4.791667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
117,4.833333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
118,4.875000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
119,4.916667,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
120,4.958333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
121,5.000000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
122,5.041667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
123,5.083333,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
124,5.125000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
125,5.166667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
126,5.208333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
127,5.250000,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
128,5.291667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
129,5.333333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
130,5.375000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
131,5.416667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
132,5.458333,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
133,5.500000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
134,5.541667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
135,5.583333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
136,5.625000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
137,5.666667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
138,5.708333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
139,5.750000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
140,5.791667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
141,5.833333,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
142,5.875000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
143,5.916667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
144,5.958333,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
145,6.000000,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
146,6.041667,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
147,6.083333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
148,6.125000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
149,6.166667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
150,6.208333,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
151,6.250000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
152,6.291667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
153,6.333333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
154,6.375000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
155,6.416667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
156,6.458333,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
157,6.500000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
158,6.541667,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
159,6.583333,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
160,6.625000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
161,6.666667,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
162,6.708333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
163,6.750000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
164,6.791667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
165,6.833333,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
166,6.875000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
167,6.916667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
168,6.958333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
169,7.000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
170,7.041667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
171,7.083333,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
172,7.125000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
173,7.166667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
174,7.208333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
175,7.250000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
176,7.291667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
177,7.333333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
178,7.375000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
179,7.416667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
180,7.458333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
181,7.500000,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
182,7.541667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
183,7.583333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
184,7.625000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
185,7.666667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
186,7.708333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
187,7.750000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
188,7.791667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
189,7.833333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
190,7.875000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
191,7.916667,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
192,7.958333,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
193,8.000000,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
194,8.041667,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
195,8.083333,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
196,8.125000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
197,8.166667,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
198,8.208333,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
199,8.250000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
200,8.291667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
201,8.333333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
202,8.375000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
203,8.416667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
204,8.458333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
205,8.500000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
206,8.541667,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
207,8.583333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
208,8.625000,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
209,8.666667,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
210,8.708333,0.000000000,0.000000000,0.000000000,0.000000000,,,,
211,8.750000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
212,8.791667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
213,8.833333,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
214,8.875000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
215,8.916667,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
216,8.958333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
217,9.000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
218,9.041667,0.000000000,-0.000000000,0.000000000,0.000000000,,,,
219,9.083333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
220,9.125000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
221,9.166667,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
222,9.208333,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
223,9.250000,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
224,9.291667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
225,9.333333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
226,9.375000,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
227,9.416667,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
228,9.458333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
229,9.500000,-0.000000000,-0.000000000,0.000000000,0.000000000,,,,
230,9.541667,0.000000000,0.000000000,0.000000000,0.000000000,,,,
231,9.583333,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
232,9.625000,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
233,9.666667,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
234,9.708333,0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
235,9.750000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
236,9.791667,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
237,9.833333,-0.000000000,0.000000000,0.000000000,0.000000000,,,,
238,9.875000,-0.000000000,-0.000000000,-0.000000000,0.000000000,,,,
239,9.916667,0.000000000,0.000000000,-0.000000000,0.000000000,,,,
240,9.958333,-0.000000000,0.000000000,-0.000000000,0.000000000,,,,
