frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.353465,0.085205,4.122325,1.000000,0.000000,0.000000,0.000000,0.129864,shared_fullimg_cam,514.076,390.355,46.265,4.113874,0.697514,L1_L2ground
2,0.041667,-0.354956,0.051145,4.118230,1.000000,0.000000,0.000000,0.000000,0.130504,shared_fullimg_cam,513.419,378.239,46.539,4.116839,0.689085,L1_L2ground
3,0.083333,-0.351499,0.044369,4.113970,1.000000,0.000000,0.000000,0.000000,0.130408,shared_fullimg_cam,514.522,375.839,46.553,4.122855,0.696603,L1_L2ground
4,0.125000,-0.346574,0.051614,4.109356,1.000000,0.000000,0.000000,0.000000,0.127466,shared_fullimg_cam,516.141,378.446,45.554,4.120715,0.711864,L1_L2ground
5,0.166667,-0.337412,0.094529,4.104367,1.000000,0.000000,0.000000,0.000000,0.131923,shared_fullimg_cam,519.269,393.824,47.204,4.136115,0.709170,L1_L2ground
6,0.208333,-0.330286,0.167739,4.099217,1.000000,0.000000,0.000000,0.000000,0.134763,shared_fullimg_cam,521.670,420.095,48.281,4.096190,0.773016,L1_L2ground
7,0.250000,-0.326433,0.284747,4.094754,1.000000,0.000000,0.000000,0.000000,0.143310,shared_fullimg_cam,522.923,462.126,51.399,4.088188,0.749389,L1_L2ground
8,0.291667,-0.320474,0.430277,4.091757,1.000000,0.000000,0.000000,0.000000,0.127662,shared_fullimg_cam,524.976,514.434,45.820,4.180189,0.637790,L1_L2ground
9,0.333333,-0.308783,0.623852,4.090855,1.000000,0.000000,0.000000,0.000000,0.127255,shared_fullimg_cam,529.148,583.961,45.684,3.995717,0.858566,L1_L2ground
10,0.375000,-0.311055,0.673371,4.094112,1.000000,0.000000,0.000000,0.000000,0.128850,shared_fullimg_cam,528.421,601.546,46.220,4.025479,0.804250,L1_L2ground
11,0.416667,-0.314242,0.552229,4.100818,1.000000,0.000000,0.000000,0.000000,0.124688,shared_fullimg_cam,527.462,557.767,44.654,4.059948,0.802348,L1_L2ground
12,0.458333,-0.310332,0.440144,4.108496,1.000000,0.000000,0.000000,0.000000,0.126486,shared_fullimg_cam,529.070,517.332,45.213,4.141626,0.723250,L1_L2ground
13,0.500000,-0.319773,0.352085,4.113623,1.000000,0.000000,0.000000,0.000000,0.127027,shared_fullimg_cam,525.838,485.698,45.350,4.209476,0.687257,L1_L2ground
14,0.541667,-0.318371,0.279246,4.113359,1.000000,0.000000,0.000000,0.000000,0.128128,shared_fullimg_cam,526.331,459.700,45.746,4.179236,0.639749,L1_L2ground
15,0.583333,-0.313681,0.220547,4.106663,1.000000,0.000000,0.000000,0.000000,0.126549,shared_fullimg_cam,527.823,438.871,45.256,4.104393,0.611979,L1_L2ground
16,0.625000,-0.314005,0.176606,4.093574,1.000000,0.000000,0.000000,0.000000,0.129550,shared_fullimg_cam,527.348,423.359,46.477,4.149893,0.576151,L1_L2ground
17,0.666667,-0.307132,0.156164,4.074096,1.000000,0.000000,0.000000,0.000000,0.130062,shared_fullimg_cam,529.287,416.293,46.884,4.109027,0.641099,L1_L2ground
18,0.708333,-0.301398,0.158675,4.048985,1.000000,0.000000,0.000000,0.000000,0.126043,shared_fullimg_cam,530.680,417.553,45.717,4.083847,0.677499,L1_L2ground
19,0.750000,-0.291326,0.202029,4.019570,1.000000,0.000000,0.000000,0.000000,0.127462,shared_fullimg_cam,533.560,433.814,46.570,4.047232,0.700248,L1_L2ground
20,0.791667,-0.287722,0.333389,3.987819,1.000000,0.000000,0.000000,0.000000,0.122260,shared_fullimg_cam,534.040,482.778,45.025,3.933361,0.739936,L1_L2ground
21,0.833333,-0.282385,0.487473,3.956237,1.000000,0.000000,0.000000,0.000000,0.121297,shared_fullimg_cam,535.175,540.956,45.027,3.943476,0.753212,L1_L2ground
