frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
49,2.000000,hand,left,surface,object:surface,1,1,1,0,0.00010955130620681092,0.00010955130620681092,,1.0,persistent_anchor,1,1,,,,,,,,,539.4514268511091,146.63260995828688,0.00010955130620681092,,vlm_confirmed:human:hand:left->object:surface
49,2.000000,hand,right,surface,object:surface,1,1,0,0,0.00043787599165806724,0.00043787599165806724,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,600.8638712295973,158.44378609871654,0.00043787599165806724,,vlm_confirmed:human:hand:right->object:surface
50,2.041667,hand,left,surface,object:surface,1,1,1,0,0.00015681282822785174,0.00015681282822785174,,1.0,persistent_anchor,1,1,,,,,,,,,535.6354952918746,145.02226680470767,0.00015681282822785174,,vlm_confirmed:human:hand:left->object:surface
50,2.041667,hand,right,surface,object:surface,1,1,0,0,0.000467940308293525,0.000467940308293525,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,598.683763449837,157.47322752865074,0.000467940308293525,,vlm_confirmed:human:hand:right->object:surface
51,2.083333,hand,left,surface,object:surface,1,1,1,0,0.0004145325383943378,0.0004145325383943378,,1.0,persistent_anchor,1,1,,,,,,,,,534.8055149087006,142.17399113154337,0.0004145325383943378,,vlm_confirmed:human:hand:left->object:surface
51,2.083333,hand,right,surface,object:surface,1,1,0,0,0.0007325704713447168,0.0007325704713447168,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,600.3670297459165,155.4280877525339,0.0007325704713447168,,vlm_confirmed:human:hand:right->object:surface
65,2.666667,hand,left,surface,object:surface,1,1,1,0,7.286559587571471e-05,7.286559587571471e-05,,1.0,persistent_anchor,1,1,,,,,,,,,550.1921100804616,155.69233289440453,7.286559587571471e-05,,vlm_confirmed:human:hand:left->object:surface
65,2.666667,hand,right,surface,object:surface,1,1,0,0,0.0002604244794767084,0.0002604244794767084,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,603.4712545370058,173.51181749497187,0.0002604244794767084,,vlm_confirmed:human:hand:right->object:surface
66,2.708333,hand,left,surface,object:surface,1,1,1,0,0.0001783550272784909,0.0001783550272784909,,1.0,persistent_anchor,1,1,,,,,,,,,543.3680921963746,146.8537623049391,0.0001783550272784909,,vlm_confirmed:human:hand:left->object:surface
66,2.708333,hand,right,surface,object:surface,1,1,0,0,9.480245279102558e-05,9.480245279102558e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,597.7983292080806,164.87456081567723,9.480245279102558e-05,,vlm_confirmed:human:hand:right->object:surface
67,2.750000,hand,left,surface,object:surface,1,1,1,0,0.0003770106837604711,0.0003770106837604711,,1.0,persistent_anchor,1,1,,,,,,,,,535.4541535636536,133.4187301758662,0.0003770106837604711,,vlm_confirmed:human:hand:left->object:surface
67,2.750000,hand,right,surface,object:surface,1,1,0,0,0.0002475342087873437,0.0002475342087873437,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,593.1697124995205,150.611502133865,0.0002475342087873437,,vlm_confirmed:human:hand:right->object:surface
94,3.875000,hand,left,surface,object:surface,1,1,1,0,4.3365365486121425e-05,4.3365365486121425e-05,,1.0,persistent_anchor,1,1,,,,,,,,,561.1281979055537,166.01370446489904,4.3365365486121425e-05,,vlm_confirmed:human:hand:left->object:surface
94,3.875000,hand,right,surface,object:surface,1,1,0,0,2.6139464482239812e-05,2.6139464482239812e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,611.7169585685772,181.59427400531013,2.6139464482239812e-05,,vlm_confirmed:human:hand:right->object:surface
95,3.916667,hand,left,surface,object:surface,1,1,1,0,4.347634872757745e-05,4.347634872757745e-05,,1.0,persistent_anchor,1,1,,,,,,,,,555.6270249748823,157.59891757977343,4.347634872757745e-05,,vlm_confirmed:human:hand:left->object:surface
95,3.916667,hand,right,surface,object:surface,1,1,0,0,2.977386219828816e-05,2.977386219828816e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,605.5837506778826,173.4838004098414,2.977386219828816e-05,,vlm_confirmed:human:hand:right->object:surface
96,3.958333,hand,left,surface,object:surface,1,1,1,0,0.00018913346566663472,0.00018913346566663472,,1.0,persistent_anchor,1,1,,,,,,,,,549.1754554419981,142.98895023171474,0.00018913346566663472,,vlm_confirmed:human:hand:left->object:surface
96,3.958333,hand,right,surface,object:surface,1,1,0,0,6.658978976785682e-05,6.658978976785682e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,601.4184260417866,159.6099944695952,6.658978976785682e-05,,vlm_confirmed:human:hand:right->object:surface
114,4.708333,hand,left,surface,object:surface,1,1,0,0,3.5209337623196945e-05,3.5209337623196945e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,550.6238171919268,179.57388274714842,3.5209337623196945e-05,,vlm_confirmed:human:hand:left->object:surface
114,4.708333,hand,right,surface,object:surface,1,1,1,0,0.00035126979909712834,0.00035126979909712834,,1.0,persistent_anchor,1,1,,,,,,,,,602.2358580965399,183.65570158408102,0.00035126979909712834,,vlm_confirmed:human:hand:right->object:surface
115,4.750000,hand,left,surface,object:surface,1,1,0,0,4.876140891270113e-05,4.876140891270113e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,546.5943754722592,176.7058420990129,4.876140891270113e-05,,vlm_confirmed:human:hand:left->object:surface
115,4.750000,hand,right,surface,object:surface,1,1,1,0,0.00030355578475611074,0.00030355578475611074,,1.0,persistent_anchor,1,1,,,,,,,,,598.9496690343908,180.52748305797573,0.00030355578475611074,,vlm_confirmed:human:hand:right->object:surface
116,4.791667,hand,left,surface,object:surface,1,1,0,0,8.53007818627862e-05,8.53007818627862e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,543.8294106360725,170.19495605862662,8.53007818627862e-05,,vlm_confirmed:human:hand:left->object:surface
116,4.791667,hand,right,surface,object:surface,1,1,1,0,0.00030684447630187497,0.00030684447630187497,,1.0,persistent_anchor,1,1,,,,,,,,,597.545867964864,173.9429960401819,0.00030684447630187497,,vlm_confirmed:human:hand:right->object:surface
130,5.375000,hand,left,surface,object:surface,1,1,0,0,9.213634910787456e-06,9.213634910787456e-06,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,559.114713896289,149.75261747396775,9.213634910787456e-06,,vlm_confirmed:human:hand:left->object:surface
