frame,time,correspondence_id,u,v,track_confidence,visible_fraction,occlusion_state,source
80,2.633333,center,752.208,458.373,1.000000,1.000000,visible,cotracker_center_fallback
81,2.666667,center,749.915,496.014,1.000000,1.000000,visible,cotracker_center_fallback
82,2.700000,center,749.826,541.187,1.000000,1.000000,visible,cotracker_center_fallback
83,2.733333,center,749.961,543.330,1.000000,1.000000,visible,cotracker_center_fallback
84,2.766667,center,750.221,592.473,1.000000,1.000000,visible,cotracker_center_fallback
85,2.800000,center,750.415,646.871,1.000000,1.000000,visible,cotracker_center_fallback
86,2.833333,center,749.690,705.028,1.000000,1.000000,visible,cotracker_center_fallback
87,2.866667,center,749.134,732.573,1.000000,1.000000,visible,cotracker_center_fallback
88,2.900000,center,749.427,700.441,1.000000,1.000000,visible,cotracker_center_fallback
89,2.933333,center,749.669,698.530,1.000000,1.000000,visible,cotracker_center_fallback
90,2.966667,center,747.153,676.864,1.000000,1.000000,visible,cotracker_center_fallback
91,3.000000,center,743.886,652.106,1.000000,1.000000,visible,cotracker_center_fallback
92,3.033333,center,743.780,633.705,1.000000,1.000000,visible,cotracker_center_fallback
93,3.066667,center,742.111,622.901,1.000000,1.000000,visible,cotracker_center_fallback
94,3.100000,center,741.809,622.113,1.000000,1.000000,visible,cotracker_center_fallback
95,3.133333,center,741.106,619.174,1.000000,1.000000,visible,cotracker_center_fallback
96,3.166667,center,742.166,620.595,1.000000,1.000000,visible,cotracker_center_fallback
97,3.200000,center,740.500,626.500,1.000000,1.000000,visible,cotracker_box_center
98,3.233333,center,740.854,626.938,1.000000,1.000000,visible,cotracker_box_center
99,3.266667,center,741.964,629.445,1.000000,1.000000,visible,cotracker_lr_center
100,3.300000,center,742.128,646.028,1.000000,1.000000,visible,cotracker_center_fallback
101,3.333333,center,743.449,672.964,1.000000,1.000000,visible,cotracker_center_fallback
102,3.366667,center,743.445,701.887,1.000000,1.000000,visible,cotracker_center_fallback
103,3.400000,center,742.455,728.398,1.000000,1.000000,visible,cotracker_center_fallback
104,3.433333,center,742.280,729.242,1.000000,1.000000,visible,cotracker_center_fallback
105,3.466667,center,740.928,702.666,1.000000,1.000000,visible,cotracker_center_fallback
106,3.500000,center,738.009,676.460,1.000000,1.000000,visible,cotracker_center_fallback
107,3.533333,center,735.443,651.343,1.000000,1.000000,visible,cotracker_center_fallback
108,3.566667,center,732.526,635.496,1.000000,1.000000,visible,cotracker_center_fallback
109,3.600000,center,731.823,633.213,1.000000,1.000000,visible,cotracker_center_fallback
110,3.633333,center,741.261,618.901,1.000000,1.000000,visible,cotracker_tb_center
111,3.666667,center,732.957,615.410,1.000000,1.000000,visible,cotracker_center_fallback
112,3.700000,center,730.039,610.972,1.000000,1.000000,visible,cotracker_center_fallback
113,3.733333,center,729.350,610.753,1.000000,1.000000,visible,cotracker_center_fallback
114,3.766667,center,727.646,612.999,1.000000,1.000000,visible,cotracker_center_fallback
115,3.800000,center,727.010,620.145,1.000000,1.000000,visible,cotracker_center_fallback
116,3.833333,center,724.708,624.816,1.000000,1.000000,visible,cotracker_center_fallback
117,3.866667,center,723.738,628.195,1.000000,1.000000,visible,cotracker_center_fallback
118,3.900000,center,722.984,640.907,1.000000,1.000000,visible,cotracker_center_fallback
119,3.933333,center,722.371,646.447,1.000000,1.000000,visible,cotracker_center_fallback
120,3.966667,center,718.847,667.274,1.000000,1.000000,visible,cotracker_center_fallback
121,4.000000,center,715.966,694.234,1.000000,1.000000,visible,cotracker_center_fallback
122,4.033333,center,713.618,724.342,1.000000,1.000000,visible,cotracker_center_fallback
123,4.066667,center,706.600,760.939,1.000000,1.000000,visible,cotracker_center_fallback
124,4.100000,center,706.793,759.274,1.000000,1.000000,visible,cotracker_center_fallback
125,4.133333,center,705.451,757.179,1.000000,1.000000,visible,cotracker_center_fallback
126,4.166667,center,716.100,715.052,1.000000,1.000000,visible,cotracker_center_fallback
127,4.200000,center,716.550,692.902,1.000000,1.000000,visible,cotracker_center_fallback
128,4.233333,center,715.326,692.329,1.000000,1.000000,visible,cotracker_center_fallback
129,4.266667,center,715.000,668.000,1.000000,1.000000,visible,cotracker_box_center
130,4.300000,center,714.837,658.477,1.000000,1.000000,visible,cotracker_lr_center
131,4.333333,center,718.751,617.959,1.000000,1.000000,visible,cotracker_center_fallback
132,4.366667,center,721.952,599.175,1.000000,1.000000,visible,cotracker_center_fallback
133,4.400000,center,723.888,590.364,1.000000,1.000000,visible,cotracker_center_fallback
134,4.433333,center,725.767,590.790,1.000000,1.000000,visible,cotracker_center_fallback
135,4.466667,center,729.747,590.347,1.000000,1.000000,visible,cotracker_center_fallback
136,4.500000,center,733.629,594.130,1.000000,1.000000,visible,cotracker_center_fallback
137,4.533333,center,737.060,604.624,1.000000,1.000000,visible,cotracker_center_fallback
138,4.566667,center,743.387,625.487,1.000000,1.000000,visible,cotracker_center_fallback
139,4.600000,center,742.841,625.163,1.000000,1.000000,visible,cotracker_center_fallback
140,4.633333,center,744.982,642.215,1.000000,1.000000,visible,cotracker_center_fallback
141,4.666667,center,747.264,667.901,1.000000,1.000000,visible,cotracker_center_fallback
142,4.700000,center,749.004,698.536,1.000000,1.000000,visible,cotracker_center_fallback
143,4.733333,center,749.511,699.356,1.000000,1.000000,visible,cotracker_center_fallback
144,4.766667,center,751.924,729.204,1.000000,1.000000,visible,cotracker_center_fallback
145,4.800000,center,753.686,761.492,1.000000,1.000000,visible,cotracker_center_fallback
146,4.833333,center,755.143,780.037,1.000000,1.000000,visible,cotracker_center_fallback
147,4.866667,center,753.875,750.301,1.000000,1.000000,visible,cotracker_center_fallback
148,4.900000,center,753.510,712.851,1.000000,1.000000,visible,cotracker_center_fallback
149,4.933333,center,753.461,712.037,1.000000,1.000000,visible,cotracker_center_fallback
150,4.966667,center,752.091,678.255,1.000000,1.000000,visible,cotracker_center_fallback
151,5.000000,center,752.724,651.585,1.000000,1.000000,visible,cotracker_center_fallback
152,5.033333,center,755.175,629.991,1.000000,1.000000,visible,cotracker_center_fallback
153,5.066667,center,757.770,611.264,1.000000,1.000000,visible,cotracker_center_fallback
154,5.100000,center,757.240,610.539,1.000000,1.000000,visible,cotracker_center_fallback
155,5.133333,center,756.568,598.808,1.000000,1.000000,visible,cotracker_center_fallback
156,5.166667,center,755.352,591.199,1.000000,1.000000,visible,cotracker_center_fallback
157,5.200000,center,754.315,589.790,1.000000,1.000000,visible,cotracker_center_fallback
158,5.233333,center,753.606,589.922,1.000000,1.000000,visible,cotracker_center_fallback
159,5.266667,center,751.829,595.874,1.000000,1.000000,visible,cotracker_center_fallback
160,5.300000,center,749.534,607.548,1.000000,1.000000,visible,cotracker_center_fallback
161,5.333333,center,750.500,632.000,1.000000,1.000000,visible,cotracker_box_center
162,5.366667,center,751.018,654.664,1.000000,1.000000,visible,cotracker_center_fallback
163,5.400000,center,748.146,679.530,1.000000,1.000000,visible,cotracker_center_fallback
164,5.433333,center,749.181,682.052,1.000000,1.000000,visible,cotracker_center_fallback
165,5.466667,center,748.423,715.327,1.000000,1.000000,visible,cotracker_center_fallback
166,5.500000,center,749.528,669.230,1.000000,1.000000,visible,cotracker_tb_center
167,5.533333,center,752.590,656.863,1.000000,1.000000,visible,cotracker_tb_center
168,5.566667,center,760.438,699.424,1.000000,1.000000,visible,cotracker_center_fallback
169,5.600000,center,759.869,697.172,1.000000,1.000000,visible,cotracker_center_fallback
170,5.633333,center,769.046,672.944,1.000000,1.000000,visible,cotracker_center_fallback
171,5.666667,center,778.949,651.506,1.000000,1.000000,visible,cotracker_center_fallback
172,5.700000,center,784.414,634.461,1.000000,1.000000,visible,cotracker_center_fallback
173,5.733333,center,785.408,632.492,1.000000,1.000000,visible,cotracker_center_fallback
174,5.766667,center,792.965,627.293,1.000000,1.000000,visible,cotracker_center_fallback
175,5.800000,center,797.064,623.894,1.000000,1.000000,visible,cotracker_center_fallback
176,5.833333,center,802.222,628.819,1.000000,1.000000,visible,cotracker_center_fallback
177,5.866667,center,802.294,630.595,1.000000,1.000000,visible,cotracker_center_fallback
178,5.900000,center,804.180,582.952,1.000000,1.000000,visible,cotracker_center_fallback
179,5.933333,center,802.523,580.622,1.000000,1.000000,visible,cotracker_center_fallback
180,5.966667,center,801.308,534.414,1.000000,1.000000,visible,cotracker_center_fallback
181,6.000000,center,797.713,492.265,1.000000,1.000000,visible,cotracker_center_fallback
182,6.033333,center,800.545,460.251,1.000000,1.000000,visible,cotracker_center_fallback
183,6.066667,center,801.964,433.316,1.000000,1.000000,visible,cotracker_center_fallback
184,6.100000,center,801.104,431.168,1.000000,1.000000,visible,cotracker_center_fallback
185,6.133333,center,801.718,407.630,1.000000,1.000000,visible,cotracker_center_fallback
186,6.166667,center,801.909,391.285,1.000000,1.000000,visible,cotracker_center_fallback
187,6.200000,center,803.110,382.486,1.000000,1.000000,visible,cotracker_center_fallback
188,6.233333,center,802.856,382.435,1.000000,1.000000,visible,cotracker_center_fallback
189,6.266667,center,802.779,377.221,1.000000,1.000000,visible,cotracker_center_fallback
190,6.300000,center,801.911,375.271,1.000000,1.000000,visible,cotracker_center_fallback
191,6.333333,center,797.452,383.394,1.000000,1.000000,visible,cotracker_center_fallback
192,6.366667,center,798.039,398.964,1.000000,1.000000,visible,cotracker_center_fallback
193,6.400000,center,798.500,418.000,1.000000,1.000000,visible,cotracker_box_center
194,6.433333,center,799.049,418.829,1.000000,1.000000,visible,cotracker_box_center
195,6.466667,center,798.681,419.284,1.000000,1.000000,visible,cotracker_box_center
196,6.500000,center,799.737,445.212,1.000000,1.000000,visible,cotracker_box_center
197,6.533333,center,798.971,473.306,1.000000,1.000000,visible,cotracker_lr_center
198,6.566667,center,798.123,507.557,1.000000,1.000000,visible,cotracker_lr_center
199,6.600000,center,799.458,511.446,1.000000,1.000000,visible,cotracker_center_fallback
200,6.633333,center,800.494,550.610,1.000000,1.000000,visible,cotracker_center_fallback
201,6.666667,center,802.959,598.128,1.000000,1.000000,visible,cotracker_center_fallback
202,6.700000,center,801.366,653.906,1.000000,1.000000,visible,cotracker_center_fallback
203,6.733333,center,801.108,656.231,1.000000,1.000000,visible,cotracker_center_fallback
204,6.766667,center,802.345,716.156,1.000000,1.000000,visible,cotracker_center_fallback
205,6.800000,center,798.974,787.071,1.000000,1.000000,visible,cotracker_center_fallback
206,6.833333,center,799.446,851.837,1.000000,1.000000,visible,cotracker_center_fallback
207,6.866667,center,795.254,835.365,1.000000,1.000000,visible,cotracker_center_fallback
208,6.900000,center,790.518,811.945,1.000000,1.000000,visible,cotracker_center_fallback
209,6.933333,center,789.276,810.296,1.000000,1.000000,visible,cotracker_center_fallback
210,6.966667,center,783.525,794.014,1.000000,1.000000,visible,cotracker_center_fallback
211,7.000000,center,777.987,782.366,1.000000,1.000000,visible,cotracker_center_fallback
212,7.033333,center,772.487,781.925,1.000000,1.000000,visible,cotracker_center_fallback
213,7.066667,center,768.855,786.784,1.000000,1.000000,visible,cotracker_center_fallback
214,7.100000,center,768.695,787.088,1.000000,1.000000,visible,cotracker_center_fallback
215,7.133333,center,763.735,796.499,1.000000,1.000000,visible,cotracker_center_fallback
216,7.166667,center,754.862,815.727,1.000000,1.000000,visible,cotracker_center_fallback
217,7.200000,center,749.694,836.900,1.000000,1.000000,visible,cotracker_center_fallback
218,7.233333,center,748.831,837.478,1.000000,1.000000,visible,cotracker_center_fallback
219,7.266667,center,746.055,841.202,1.000000,1.000000,visible,cotracker_center_fallback
220,7.300000,center,741.512,834.237,1.000000,1.000000,visible,cotracker_center_fallback
221,7.333333,center,736.294,828.672,1.000000,1.000000,visible,cotracker_center_fallback
222,7.366667,center,731.797,829.019,1.000000,1.000000,visible,cotracker_center_fallback
223,7.400000,center,731.099,836.888,1.000000,1.000000,visible,cotracker_lr_center
224,7.433333,center,726.803,836.245,1.000000,1.000000,visible,cotracker_center_fallback
225,7.466667,center,725.000,840.500,1.000000,1.000000,visible,cotracker_box_center
226,7.500000,center,721.923,834.859,1.000000,1.000000,visible,cotracker_center_fallback
227,7.533333,center,716.513,826.975,1.000000,1.000000,visible,cotracker_center_fallback
228,7.566667,center,712.378,824.370,1.000000,1.000000,visible,cotracker_center_fallback
229,7.600000,center,710.676,824.004,1.000000,1.000000,visible,cotracker_center_fallback
230,7.633333,center,707.797,826.982,1.000000,1.000000,visible,cotracker_center_fallback
231,7.666667,center,704.931,827.456,1.000000,1.000000,visible,cotracker_center_fallback
232,7.700000,center,700.418,826.578,1.000000,1.000000,visible,cotracker_center_fallback
