frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
12,0.500000,1,-0.130766,-0.081558,3.994179,-0.189590,-0.048485,3.990095,-0.235919,-0.055280,3.932055,-0.234476,-0.032444,3.928987,-0.199014,-0.044886,3.943772,-0.185173,-0.039737,3.949761,-0.178985,-0.023228,3.958982,1,-0.697295,-0.020467,3.739650,-0.698944,0.047429,3.731070,-0.642598,0.091252,3.741424,-0.647673,0.116228,3.755339,-0.657648,0.117092,3.768223,-0.673708,0.108509,3.779068,-0.693421,0.095507,3.779653
13,0.541667,1,-0.130250,-0.080400,3.993951,-0.189171,-0.047985,3.989598,-0.234898,-0.055367,3.931398,-0.234131,-0.032904,3.927443,-0.198964,-0.044228,3.941801,-0.184764,-0.039139,3.948380,-0.179324,-0.022245,3.957633,1,-0.697835,-0.020842,3.740581,-0.699599,0.046996,3.732578,-0.644346,0.091570,3.742534,-0.648544,0.116649,3.757219,-0.658858,0.117000,3.770112,-0.675622,0.107939,3.781073,-0.695508,0.094407,3.781177
14,0.583333,1,-0.129668,-0.080028,3.994393,-0.188789,-0.047714,3.989414,-0.234595,-0.056232,3.931245,-0.232528,-0.033701,3.926424,-0.198895,-0.044020,3.940447,-0.184544,-0.039125,3.947541,-0.179437,-0.022013,3.956531,1,-0.697140,-0.021031,3.741351,-0.699694,0.046780,3.733868,-0.644861,0.091833,3.743215,-0.648768,0.116763,3.758654,-0.659313,0.116626,3.771757,-0.676456,0.106937,3.782964,-0.696300,0.092862,3.782910
15,0.625000,1,-0.129406,-0.080269,3.994913,-0.188692,-0.047970,3.989556,-0.235032,-0.057611,3.931544,-0.230940,-0.034867,3.926343,-0.199032,-0.044657,3.940015,-0.184825,-0.039931,3.947227,-0.179578,-0.022729,3.955783,1,-0.696168,-0.021100,3.741878,-0.699333,0.046731,3.734708,-0.644464,0.092027,3.743612,-0.648555,0.116757,3.759375,-0.659083,0.116116,3.772835,-0.676289,0.106139,3.784197,-0.695952,0.091644,3.784285
16,0.666667,1,-0.129558,-0.081122,3.995470,-0.189281,-0.049473,3.989197,-0.235722,-0.059583,3.930935,-0.230674,-0.036888,3.926218,-0.199981,-0.046418,3.939149,-0.186151,-0.041711,3.946102,-0.180443,-0.024493,3.954412,1,-0.695222,-0.021088,3.742253,-0.698570,0.046842,3.735005,-0.643611,0.092212,3.743637,-0.647902,0.116782,3.759268,-0.658209,0.115785,3.773066,-0.675256,0.106054,3.784482,-0.694716,0.091397,3.784872
17,0.708333,1,-0.130666,-0.082625,3.994778,-0.190814,-0.052968,3.986887,-0.236347,-0.063161,3.927498,-0.232227,-0.040578,3.924020,-0.202486,-0.049347,3.935313,-0.189041,-0.044413,3.941953,-0.182775,-0.027341,3.950527,1,-0.694467,-0.020778,3.741608,-0.697375,0.047147,3.734951,-0.642532,0.092484,3.743384,-0.646647,0.116925,3.758711,-0.656703,0.115897,3.772657,-0.673519,0.106660,3.784079,-0.692846,0.092114,3.784763
18,0.750000,1,-0.131832,-0.085821,3.991704,-0.193308,-0.058901,3.981627,-0.237029,-0.069565,3.920219,-0.235631,-0.046571,3.918506,-0.207063,-0.053477,3.927028,-0.193704,-0.048040,3.933540,-0.186984,-0.031436,3.942966,1,-0.692743,-0.020155,3.742254,-0.695718,0.047685,3.734852,-0.641218,0.092895,3.743108,-0.644703,0.117262,3.758181,-0.654588,0.116532,3.772038,-0.671163,0.107721,3.783403,-0.690503,0.093485,3.784289
19,0.791667,1,-0.134817,-0.093416,3.979016,-0.196663,-0.067289,3.973874,-0.238041,-0.079273,3.909991,-0.240824,-0.055094,3.910550,-0.213611,-0.059199,3.915663,-0.199944,-0.052917,3.922087,-0.192912,-0.037185,3.932730,1,-0.691083,-0.019464,3.742142,-0.693597,0.048457,3.734810,-0.639575,0.093431,3.742932,-0.642162,0.117779,3.757769,-0.651925,0.117571,3.771376,-0.668232,0.109194,3.782570,-0.687747,0.095362,3.783577
20,0.833333,1,-0.137853,-0.101533,3.969669,-0.200694,-0.077640,3.965297,-0.239979,-0.092348,3.899607,-0.247875,-0.066417,3.902372,-0.222051,-0.067235,3.904113,-0.207777,-0.059539,3.910025,-0.200233,-0.045043,3.921782,1,-0.688962,-0.018393,3.741647,-0.691057,0.049447,3.734805,-0.637475,0.094057,3.742921,-0.639194,0.118405,3.757458,-0.648827,0.118832,3.770759,-0.664889,0.111146,3.781662,-0.684687,0.097694,3.782727
21,0.875000,1,-0.142072,-0.111716,3.965031,-0.205224,-0.089344,3.957289,-0.243431,-0.108762,3.891458,-0.256658,-0.080898,3.895237,-0.232737,-0.078181,3.893863,-0.217779,-0.068257,3.898641,-0.208916,-0.055160,3.911136,1,-0.686743,-0.017092,3.743505,-0.688295,0.050625,3.734853,-0.634829,0.094773,3.743155,-0.636040,0.119126,3.757317,-0.645538,0.120186,3.770357,-0.661479,0.113455,3.780898,-0.681579,0.100275,3.781997
