frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
66,2.708333,1,hand,left,ball_boundary,left,562.562,123.655,-0.176124,0.663601,0.395021,hand_floor_from_anchor_floor_candidates
67,2.750000,1,hand,left,ball_boundary,left,558.834,103.405,-0.059602,0.611650,0.232721,hand_floor_from_anchor_floor_candidates
68,2.791667,0,none,left,none,left,552.391,78.131,-0.318518,0.609368,0.000000,hand_floor_from_anchor_floor_candidates
69,2.833333,0,none,left,none,left,547.618,50.781,-0.342527,0.550064,0.000000,hand_floor_from_anchor_floor_candidates
70,2.875000,0,none,left,none,left,547.119,22.951,-0.021798,0.415354,0.000000,hand_floor_from_anchor_floor_candidates
71,2.916667,0,none,left,none,grid_10_07,549.065,25.797,0.521192,0.301293,0.000000,hand_floor_from_anchor_floor_candidates
87,3.583333,0,none,left,none,grid_10_05,578.939,21.225,0.682082,0.032645,0.000000,hand_floor_from_anchor_floor_candidates
88,3.625000,0,none,left,none,left,558.216,22.988,0.697866,0.055779,0.000000,hand_floor_from_anchor_floor_candidates
89,3.666667,0,none,left,none,bottom,584.276,69.856,0.599447,0.098501,0.000000,hand_floor_from_anchor_floor_candidates
90,3.708333,0,none,left,none,bottom,583.988,95.620,0.468955,0.173019,0.000000,hand_floor_from_anchor_floor_candidates
91,3.750000,0,none,left,none,bottom,583.733,121.307,0.142258,0.299018,0.000000,hand_floor_from_anchor_floor_candidates
92,3.791667,0,none,left,none,bottom,582.701,153.525,-0.167276,0.584358,0.000000,hand_floor_from_anchor_floor_candidates
93,3.833333,1,hand,left,ball_boundary,left,560.153,145.153,-0.111741,0.750651,0.630699,hand_floor_from_anchor_floor_candidates
94,3.875000,1,hand,left,ball_boundary,left,560.415,152.399,-0.076132,0.887605,0.757003,hand_floor_from_anchor_floor_candidates
95,3.916667,1,hand,left,ball_boundary,left,557.595,141.578,0.001720,0.826701,0.645706,hand_floor_from_anchor_floor_candidates
96,3.958333,1,hand,left,ball_boundary,bottom,575.850,155.279,-0.012000,0.772985,0.517427,hand_floor_from_anchor_floor_candidates
97,4.000000,1,hand,left,ball_boundary,bottom,576.137,133.730,-0.016912,0.837178,0.241737,hand_floor_from_anchor_floor_candidates
98,4.041667,0,none,left,none,left,543.603,79.986,0.016318,0.617131,0.000000,hand_floor_from_anchor_floor_candidates
99,4.083333,0,none,left,none,bottom,568.568,87.414,0.053987,0.523862,0.000000,hand_floor_from_anchor_floor_candidates
100,4.125000,0,none,left,none,bottom,568.586,64.861,0.089304,0.424668,0.000000,hand_floor_from_anchor_floor_candidates
101,4.166667,0,none,left,none,bottom,569.309,44.968,0.153839,0.345244,0.000000,hand_floor_from_anchor_floor_candidates
102,4.208333,0,none,left,none,bottom,569.483,27.887,0.160686,0.264449,0.000000,hand_floor_from_anchor_floor_candidates
103,4.250000,0,none,left,none,bottom,571.492,16.084,0.769603,0.191048,0.000000,hand_floor_from_anchor_floor_candidates
104,4.291667,0,none,left,none,grid_11_06,574.270,9.693,0.378912,0.133287,0.000000,hand_floor_from_anchor_floor_candidates
109,4.500000,0,none,left,none,left,545.682,17.776,0.660448,0.057806,0.000000,hand_floor_from_anchor_floor_candidates
110,4.541667,0,none,left,none,left,544.958,33.407,0.089193,0.063772,0.000000,hand_floor_from_anchor_floor_candidates
111,4.583333,0,none,left,none,left,544.485,53.155,0.038258,0.079969,0.000000,hand_floor_from_anchor_floor_candidates
112,4.625000,0,none,left,none,left,544.707,77.507,0.101112,0.099497,0.000000,hand_floor_from_anchor_floor_candidates
113,4.666667,1,hand,left,ball_boundary,left,546.867,104.885,-0.089802,0.165287,0.670119,hand_floor_from_anchor_floor_candidates
114,4.708333,1,hand,left,ball_boundary,top,554.498,94.098,-0.224623,0.348892,0.583390,hand_floor_from_anchor_floor_candidates
115,4.750000,1,hand,left,ball_boundary,top,553.824,124.445,-0.503675,0.709640,0.828985,hand_floor_from_anchor_floor_candidates
116,4.791667,1,hand,left,ball_boundary,top,553.827,114.863,-0.541805,0.668416,0.633269,hand_floor_from_anchor_floor_candidates
117,4.833333,1,hand,left,ball_boundary,left,543.873,129.898,-0.668829,0.496946,0.563201,hand_floor_from_anchor_floor_candidates
118,4.875000,1,hand,left,ball_boundary,bottom,585.483,118.028,-0.525314,0.346846,0.241528,hand_floor_from_anchor_floor_candidates
119,4.916667,0,none,left,none,bottom,584.674,98.827,0.014534,0.238698,0.000000,hand_floor_from_anchor_floor_candidates
120,4.958333,0,none,left,none,bottom,584.534,83.029,-0.009194,0.197008,0.000000,hand_floor_from_anchor_floor_candidates
121,5.000000,0,none,left,none,bottom,583.207,70.726,0.031847,0.156266,0.000000,hand_floor_from_anchor_floor_candidates
122,5.041667,0,none,left,none,bottom,582.720,62.165,0.068391,0.129672,0.000000,hand_floor_from_anchor_floor_candidates
123,5.083333,0,none,left,none,bottom,582.391,57.927,0.109461,0.119482,0.000000,hand_floor_from_anchor_floor_candidates
124,5.125000,0,none,left,none,left,551.596,41.799,0.048804,0.113574,0.000000,hand_floor_from_anchor_floor_candidates
125,5.166667,0,none,left,none,left,552.259,45.408,0.013927,0.122990,0.000000,hand_floor_from_anchor_floor_candidates
126,5.208333,0,none,left,none,left,554.308,51.039,0.020185,0.142809,0.000000,hand_floor_from_anchor_floor_candidates
127,5.250000,0,none,left,none,left,555.750,60.691,0.044593,0.173135,0.000000,hand_floor_from_anchor_floor_candidates
128,5.291667,0,none,left,none,right,607.498,82.068,-0.056684,0.240017,0.000000,hand_floor_from_anchor_floor_candidates
129,5.333333,0,none,left,none,right,610.107,101.786,-0.128896,0.354042,0.000000,hand_floor_from_anchor_floor_candidates
130,5.375000,0,none,right,none,right,612.207,124.927,-0.247032,0.512979,0.000000,hand_floor_from_anchor_floor_candidates
131,5.416667,1,hand,right,ball_boundary,right,611.291,145.299,-0.131975,0.984919,0.450617,hand_floor_from_anchor_floor_candidates
132,5.458333,1,hand,right,ball_boundary,right,604.852,137.023,-0.319259,0.964809,0.468608,hand_floor_from_anchor_floor_candidates
133,5.500000,1,hand,right,ball_boundary,right,591.378,111.081,-0.407367,0.831371,0.262928,hand_floor_from_anchor_floor_candidates
134,5.541667,1,hand,left,ball_boundary,right,571.941,82.667,-0.390794,0.445543,0.122038,hand_floor_from_anchor_floor_candidates
135,5.583333,1,hand,left,ball_boundary,right,545.042,59.182,-0.023786,0.601925,0.239945,hand_floor_from_anchor_floor_candidates
136,5.625000,1,hand,left,ball_boundary,right,520.205,37.512,-0.020212,0.443827,0.218084,hand_floor_from_anchor_floor_candidates
137,5.666667,0,none,left,none,right,496.152,20.250,3.324426,0.244477,0.000000,hand_floor_from_anchor_floor_candidates
177,7.333333,0,none,left,none,grid_04_08,296.841,61.603,0.654991,0.002764,0.000000,hand_floor_from_anchor_floor_candidates
178,7.375000,0,none,left,none,grid_05_08,331.037,65.924,0.557061,0.006405,0.000000,hand_floor_from_anchor_floor_candidates
179,7.416667,0,none,left,none,grid_05_08,362.055,69.274,0.523685,0.014403,0.000000,hand_floor_from_anchor_floor_candidates
180,7.458333,0,none,left,none,grid_05_08,393.239,75.159,0.498139,0.032083,0.000000,hand_floor_from_anchor_floor_candidates
181,7.500000,0,none,left,none,grid_05_08,424.840,82.840,0.120138,0.073139,0.000000,hand_floor_from_anchor_floor_candidates
