frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
1,0.000000,short_impact,0.000000,1,0,1,generic_motion_regime_from_se3_and_anchor_state
2,0.041667,sustained_grasp,0.001312,1,1,1,generic_motion_regime_from_se3_and_anchor_state
3,0.083333,sustained_grasp,0.025789,1,1,1,generic_motion_regime_from_se3_and_anchor_state
4,0.125000,sustained_grasp,0.024192,1,1,1,generic_motion_regime_from_se3_and_anchor_state
5,0.166667,sustained_grasp,0.008622,1,1,1,generic_motion_regime_from_se3_and_anchor_state
6,0.208333,sustained_grasp,0.016183,1,1,1,generic_motion_regime_from_se3_and_anchor_state
7,0.250000,sustained_grasp,0.023589,1,1,1,generic_motion_regime_from_se3_and_anchor_state
8,0.291667,sustained_grasp,0.033180,1,1,1,generic_motion_regime_from_se3_and_anchor_state
9,0.333333,sustained_grasp,0.077477,1,1,1,generic_motion_regime_from_se3_and_anchor_state
10,0.375000,short_impact,0.117583,1,0,1,generic_motion_regime_from_se3_and_anchor_state
11,0.416667,sustained_grasp,0.017607,1,1,1,generic_motion_regime_from_se3_and_anchor_state
12,0.458333,sustained_grasp,0.048141,1,1,1,generic_motion_regime_from_se3_and_anchor_state
13,0.500000,sustained_grasp,0.053374,1,1,1,generic_motion_regime_from_se3_and_anchor_state
14,0.541667,sustained_grasp,0.209853,1,1,1,generic_motion_regime_from_se3_and_anchor_state
15,0.583333,high_speed,0.375636,0,0,0,generic_motion_regime_from_se3_and_anchor_state
16,0.625000,high_speed,0.248591,0,0,0,generic_motion_regime_from_se3_and_anchor_state
17,0.666667,high_speed,0.623040,0,0,0,generic_motion_regime_from_se3_and_anchor_state
18,0.708333,static_hold,0.009035,0,0,0,generic_motion_regime_from_se3_and_anchor_state
19,0.750000,low_speed,0.013257,0,0,0,generic_motion_regime_from_se3_and_anchor_state
20,0.791667,static_hold,0.009481,0,0,0,generic_motion_regime_from_se3_and_anchor_state
21,0.833333,static_hold,0.007971,0,0,0,generic_motion_regime_from_se3_and_anchor_state
22,0.875000,static_hold,0.008755,0,0,0,generic_motion_regime_from_se3_and_anchor_state
23,0.916667,static_hold,0.004240,0,0,0,generic_motion_regime_from_se3_and_anchor_state
24,0.958333,low_speed,0.013780,0,0,0,generic_motion_regime_from_se3_and_anchor_state
25,1.000000,low_speed,0.027095,0,0,0,generic_motion_regime_from_se3_and_anchor_state
26,1.041667,free_motion,0.066603,0,0,0,generic_motion_regime_from_se3_and_anchor_state
27,1.083333,uniform_motion,0.047166,0,0,0,generic_motion_regime_from_se3_and_anchor_state
28,1.125000,high_speed,0.291321,0,0,0,generic_motion_regime_from_se3_and_anchor_state
