frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
16,0.625000,528.562,-3.468,528.562,-3.468,528.562,-3.468,cotracker_sam2_mask_points,center,528.562,23.865,23.865,27.333,27.333,cotracker_bottom,,,stage2_contact_policy,3.529665,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.305994,3.529665,3.529665,3.529665,1.000000,0.000000,,,20.498
17,0.666667,537.246,-22.743,537.246,-22.743,537.246,-22.743,cotracker_sam2_mask_points,center,537.246,2.840,2.840,25.583,25.583,cotracker_bottom,,,stage2_contact_policy,4.119375,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.119375,4.119375,4.119375,4.119375,1.000000,0.000000,,,7.548
18,0.708333,540.430,-22.163,540.430,-22.163,540.430,-22.163,cotracker_sam2_mask_points,center,540.430,53.111,53.111,75.274,75.274,cotracker_bottom,,,stage2_contact_policy,4.120774,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.120774,4.120774,4.120774,4.120774,1.000000,0.000000,,,0.000
19,0.750000,544.738,-23.979,544.738,-23.979,544.738,-23.979,cotracker_sam2_mask_points,center,544.738,73.151,73.151,97.130,97.130,cotracker_bottom,,,stage2_contact_policy,4.122174,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.122174,4.122174,4.122174,4.122174,1.000000,0.000000,,,0.000
20,0.791667,547.500,-25.773,547.500,-25.773,547.500,-25.773,cotracker_sam2_mask_points,center,547.500,84.589,84.589,110.362,110.362,cotracker_bottom,,,stage2_contact_policy,4.123573,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.123573,4.123573,4.123573,4.123573,1.000000,0.000000,,,0.000
21,0.833333,547.307,-28.427,547.307,-28.427,547.307,-28.427,cotracker_sam2_mask_points,center,547.307,93.911,93.911,122.338,122.338,cotracker_bottom,,,stage2_contact_policy,4.124972,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.124972,4.124972,4.124972,4.124972,1.000000,0.000000,,,0.000
22,0.875000,549.065,-30.841,549.065,-30.841,549.065,-30.841,cotracker_sam2_mask_points,center,549.065,67.945,67.945,98.786,98.786,cotracker_bottom,,,stage2_contact_policy,4.126371,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.126371,4.126371,4.126371,4.126371,1.000000,0.000000,,,0.000
23,0.916667,550.008,-29.615,550.008,-29.615,550.008,-29.615,cotracker_sam2_mask_points,center,550.008,42.791,42.791,72.406,72.406,cotracker_bottom,,,stage2_contact_policy,4.127770,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.127770,4.127770,4.127770,4.127770,1.000000,0.000000,,,0.000
24,0.958333,551.333,-24.782,551.333,-24.782,551.333,-24.782,cotracker_sam2_mask_points,center,551.333,32.267,32.267,57.049,57.049,cotracker_bottom,,,stage2_contact_policy,4.129170,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.129170,4.129170,4.129170,4.129170,1.000000,0.000000,,,0.000
25,1.000000,552.125,-15.178,552.125,-15.178,552.125,-15.178,cotracker_sam2_mask_points,center,552.125,36.279,36.279,51.457,51.457,cotracker_bottom,,,stage2_contact_policy,4.129170,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.130569,4.129170,4.129170,4.129170,1.000000,0.000000,,,0.000
26,1.041667,559.166,7.440,559.166,7.440,559.166,7.440,cotracker_sam2_mask_points,center,559.166,68.524,68.524,61.084,61.084,cotracker_bottom,,,stage2_contact_policy,4.129170,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.131968,4.129170,4.129170,4.129170,1.000000,0.000000,,,0.000
27,1.083333,566.138,-7.818,566.138,-7.818,566.138,-7.818,cotracker_sam2_mask_points,center,566.138,10.941,10.941,18.759,18.759,cotracker_bottom,,,stage2_contact_policy,4.129170,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.133367,4.129170,4.129170,4.129170,1.000000,0.000000,,,16.136
28,1.125000,569.301,7.493,569.301,7.493,569.301,7.493,cotracker_sam2_mask_points,center,569.301,32.008,32.008,24.515,24.515,cotracker_bottom,,,stage2_contact_policy,3.859413,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.686960,3.859413,3.859413,3.859413,1.000000,0.000000,,,26.786
29,1.166667,572.430,28.950,572.430,28.950,572.430,28.950,cotracker_sam2_mask_points,center,572.430,58.460,58.460,29.510,29.510,cotracker_bottom,,,stage2_contact_policy,3.813940,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.859413,3.813940,3.813940,3.813940,1.000000,0.000000,,,34.258
30,1.208333,574.947,58.748,574.947,58.748,574.947,58.748,cotracker_sam2_mask_points,center,574.947,89.601,89.601,30.853,30.853,cotracker_bottom,,,stage2_contact_policy,3.686960,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.813940,3.686960,3.686960,3.686960,1.000000,0.000000,,,35.324
31,1.250000,576.726,93.645,576.726,93.645,576.726,93.645,cotracker_sam2_mask_points,center,576.726,125.914,125.914,32.269,32.269,cotracker_bottom,,,stage2_contact_policy,3.591494,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.591494,3.591494,3.591494,3.591494,1.000000,0.000000,,,35.504
32,1.291667,578.351,129.090,578.351,129.090,578.351,129.090,cotracker_sam2_mask_points,center,578.351,165.197,165.197,36.107,36.107,cotracker_bottom,,,stage2_contact_policy,3.054919,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.952477,3.054919,3.054919,3.054919,1.000000,0.000000,,,34.346
33,1.333333,586.696,145.724,586.696,145.724,586.696,145.724,cotracker_sam2_mask_points,center,586.696,179.883,179.883,34.159,34.159,cotracker_bottom,,,stage2_contact_policy,2.952477,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.054919,2.952477,2.952477,2.952477,1.000000,0.000000,,,33.525
34,1.375000,584.049,129.660,584.049,129.660,584.049,129.660,cotracker_sam2_mask_points,center,584.049,162.878,162.878,33.218,33.218,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.939680,2.939680,2.939680,2.939680,1.000000,0.000000,,,33.644
35,1.416667,577.795,101.898,577.795,101.898,577.795,101.898,cotracker_sam2_mask_points,center,577.795,136.304,136.304,34.406,34.406,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.885788,2.939680,2.939680,2.939680,1.000000,0.000000,,,34.664
36,1.458333,572.310,72.190,572.310,72.190,572.310,72.190,cotracker_sam2_mask_points,center,572.310,106.970,106.970,34.780,34.780,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.753232,2.939680,2.939680,2.939680,1.000000,0.000000,,,35.812
37,1.500000,567.826,41.421,567.826,41.421,567.826,41.421,cotracker_sam2_mask_points,center,567.826,76.607,76.607,35.186,35.186,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.848692,2.939680,2.939680,2.939680,1.000000,0.000000,,,35.234
38,1.541667,565.308,18.106,565.308,18.106,565.308,18.106,cotracker_sam2_mask_points,center,565.308,51.898,51.898,33.792,33.792,cotracker_bottom,,,stage2_contact_policy,3.132323,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.238910,3.132323,3.132323,3.132323,1.000000,0.000000,,,32.645
39,1.583333,563.610,2.601,563.610,2.601,563.610,2.601,cotracker_sam2_mask_points,center,563.610,34.225,34.225,31.624,31.624,cotracker_bottom,,,stage2_contact_policy,3.238910,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.132323,3.238910,3.238910,3.238910,1.000000,0.000000,,,25.657
40,1.625000,559.774,-10.045,559.774,-10.045,559.774,-10.045,cotracker_sam2_mask_points,center,559.774,21.082,21.082,31.127,31.127,cotracker_bottom,,,stage2_contact_policy,3.895924,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.924377,3.895924,3.895924,3.895924,1.000000,0.000000,,,18.151
41,1.666667,553.184,-17.787,553.184,-17.787,553.184,-17.787,cotracker_sam2_mask_points,center,553.184,10.542,10.542,28.329,28.329,cotracker_bottom,,,stage2_contact_policy,3.895924,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.957703,3.895924,3.895924,3.895924,1.000000,0.000000,,,13.552
42,1.708333,551.021,-18.964,551.021,-18.964,551.021,-18.964,cotracker_sam2_mask_points,center,551.021,7.733,7.733,26.697,26.697,cotracker_bottom,,,stage2_contact_policy,3.924377,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.062391,3.924377,3.924377,3.924377,1.000000,0.000000,,,11.604
43,1.750000,549.886,-16.199,549.886,-16.199,549.886,-16.199,cotracker_sam2_mask_points,center,549.886,8.190,8.190,24.389,24.389,cotracker_bottom,,,stage2_contact_policy,3.924377,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.895924,3.924377,3.924377,3.924377,1.000000,0.000000,,,12.679
44,1.791667,548.976,-9.136,548.976,-9.136,548.976,-9.136,cotracker_sam2_mask_points,center,548.976,12.331,12.331,21.467,21.467,cotracker_bottom,,,stage2_contact_policy,3.895924,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.745707,3.895924,3.895924,3.895924,1.000000,0.000000,,,16.737
45,1.833333,546.068,2.748,546.068,2.748,546.068,2.748,cotracker_sam2_mask_points,center,546.068,21.832,21.832,19.084,19.084,cotracker_bottom,,,stage2_contact_policy,3.745707,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.258322,3.745707,3.745707,3.745707,1.000000,0.000000,,,23.152
46,1.875000,542.786,17.578,542.786,17.578,542.786,17.578,cotracker_sam2_mask_points,center,542.786,37.988,37.988,20.410,20.410,cotracker_bottom,,,stage2_contact_policy,3.724450,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.724450,3.724450,3.724450,3.724450,1.000000,0.000000,,,30.288
47,1.916667,541.238,39.773,541.238,39.773,541.238,39.773,cotracker_sam2_mask_points,center,541.238,59.631,59.631,19.858,19.858,cotracker_bottom,,,stage2_contact_policy,3.705799,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.705799,3.705799,3.705799,3.705799,1.000000,0.000000,,,35.030
48,1.958333,539.786,67.839,539.786,67.839,539.786,67.839,cotracker_sam2_mask_points,center,539.786,85.766,85.766,17.927,17.927,cotracker_bottom,,,stage2_contact_policy,3.693232,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.693232,3.693232,3.693232,3.693232,1.000000,0.000000,,,35.107
49,2.000000,537.549,98.113,537.549,98.113,537.549,98.113,cotracker_sam2_mask_points,center,537.549,120.926,120.926,22.813,22.813,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.104563,3.484004,3.484004,3.484004,1.000000,0.000000,,,35.301
50,2.041667,536.645,116.615,536.645,116.615,536.645,116.615,cotracker_sam2_mask_points,center,536.645,134.740,134.740,18.125,18.125,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.866089,3.484004,3.484004,3.484004,1.000000,0.000000,,,34.866
51,2.083333,536.604,97.210,536.604,97.210,536.604,97.210,cotracker_sam2_mask_points,center,536.604,117.019,117.019,19.809,19.809,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.958406,3.484004,3.484004,3.484004,1.000000,0.000000,,,34.793
