frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,decision_source
1,short_impact,1,1,1,1,1,1,1,1,1,1,0.731943,0.735000,0.926667,1,,,,,generic_sequence_se3_mainline
2,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.735000,0.926667,1,,,,,generic_sequence_se3_mainline
3,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
4,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
5,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
6,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
7,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
8,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
9,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.926667,1,,,,,generic_sequence_se3_mainline
10,short_impact,1,1,1,1,1,1,1,1,1,1,0.896059,0.735000,0.926667,1,,,,,generic_sequence_se3_mainline
11,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.941664,0.735000,0.926667,1,,,,,generic_sequence_se3_mainline
12,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
13,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
14,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.880000,1,,,,,generic_sequence_se3_mainline
15,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.665000,0.560000,1,,,,,generic_sequence_se3_mainline
16,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.240000,1,,,,,generic_sequence_se3_mainline
17,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.760000,1,,,,,generic_sequence_se3_mainline
