frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
38,1.541667,-0.297809,0.434353,3.720317,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,48.341,522.439,531.462,47.370,578.832,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.271927,3.671550,3.517164,0.048767
39,1.583333,-0.297384,0.341689,3.694853,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,47.358,521.798,495.812,47.697,543.509,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.214660,3.640499,3.518601,0.054353
40,1.625000,-0.308690,0.273403,3.703550,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,46.615,517.592,468.415,47.585,516.000,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.150207,3.621206,3.520037,0.082344
41,1.666667,-0.322336,0.221375,3.699384,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,47.267,512.037,447.883,47.638,495.521,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.088314,3.614303,3.521473,0.085080
42,1.708333,-0.325282,0.187118,3.684220,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,47.230,510.336,434.589,47.834,482.423,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.047908,3.603596,3.522910,0.080625
43,1.750000,-0.328072,0.167318,3.650200,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,47.605,508.005,427.318,48.280,475.598,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.023571,3.605705,3.524346,0.044496
44,1.791667,-0.320287,0.158571,3.608222,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,47.556,509.638,424.541,48.842,473.383,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.024516,3.608222,3.525783,0.000000
45,1.833333,-0.305705,0.174587,3.605868,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,47.982,515.492,431.106,48.874,479.980,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.052561,3.600945,3.527219,0.004922
46,1.875000,-0.290946,0.221250,3.592200,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,49.025,521.052,450.454,49.060,499.514,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.103709,3.601496,3.528655,-0.009297
47,1.916667,-0.274055,0.306474,3.590196,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,48.391,527.895,485.366,49.087,534.453,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.177883,3.610142,3.530092,-0.019946
