frame,time,source,detector,audio_score,audio_event_type,audio_conf,fused_event_type,interaction_mode,contact_quality,contact_constraint,allow_slide,fused_conf,contact_target,target_entity,manip_gamma,manip_weight,promote_anchor,obj_u,obj_v,obj_speed,obj_accel,vel_reversal,nearest_part,part_dist_px,part_speed,flow_mag,proximity_min,flow_spike,visual_cue,attack,decay_ms,centroid,bandwidth,flatness,hf_ratio,zcr,rms,hpr,mfcc1,mfcc2,mfcc3,mfcc4
3,0.08000,audio,combined,0.00000,rattle,0.80000,rattle,repetitive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,519.47800,379.74300,2.01251,1.41000,1,right_hand,66.09508,1.62486,0.65387,0,0,vel_reversal,0.46025,14.00000,1434.84495,1716.01706,0.38161,0.24987,0.07009,0.01069,0.86971,92.42578,-3.92074,28.56498,27.13713
11,0.41600,audio,combined,0.93301,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,529.00000,557.00000,42.00000,11.80275,1,right_foot,74.89973,2.37416,1.73352,0,1,vel_reversal,0.76599,10.00000,1631.50986,1808.77099,0.42510,0.25811,0.11514,0.24584,0.83452,120.41070,-12.73107,9.17098,14.50857
18,0.70833,visual,visual,0.66562,rattle,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,530.82100,414.97700,8.20647,13.35612,1,right_hand,66.87573,7.53867,1.18631,1,0,vel_reversal,0.45192,21.00000,1383.44986,1510.52446,0.30149,0.28999,0.11014,0.11268,0.80330,101.27690,-25.96384,44.34562,16.48395
24,0.95200,audio,combined,1.00000,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,534.73800,547.00700,49.02127,5.30846,1,right_foot,67.47966,5.21097,2.39729,0,1,vel_reversal,0.88365,12.00000,1463.77593,1630.78876,0.36680,0.22354,0.11389,0.31535,0.00000,107.87442,-46.09715,18.07131,8.46149
32,1.29167,visual,visual,0.69539,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,529.97900,439.37400,24.93007,18.30417,0,right_hand,60.92101,19.85271,1.70398,1,0,proximity_min,0.75819,10.00000,1513.29020,1445.03085,0.31919,0.29800,0.11890,0.24882,0.79215,96.01794,-24.37791,42.79221,19.36824
37,1.48400,audio,combined,0.87845,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,533.00000,570.44100,42.67418,14.22812,1,right_foot,46.17077,3.15183,1.65616,0,1,vel_reversal,0.41372,16.00000,1750.50421,1781.76270,0.45500,0.29213,0.07009,0.35470,0.00000,84.80484,-35.14979,10.56199,31.35440
42,1.72800,audio+visual,combined,0.00000,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,part,right_hand,1.00000,1.00000,1,515.30500,430.62800,10.49168,-6.82444,1,right_hand,65.16071,13.15198,1.29345,0,0,vel_reversal,0.52824,11.00000,1744.29431,1544.84754,0.37296,0.35942,0.14143,0.11952,0.00000,92.66181,-22.96881,37.45457,6.29510
51,2.08800,audio,combined,0.97801,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,561.43500,580.70100,45.83149,15.75885,1,right_foot,57.13032,2.15502,1.28517,0,0,vel_reversal,0.90605,12.00000,1369.56701,1704.81741,0.34536,0.20359,0.09762,0.33743,0.00000,113.99992,-26.65582,23.57642,17.61966
59,2.41667,visual,visual,0.67624,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,606.00000,441.50000,17.39307,14.23335,1,right_hand,64.75282,11.63695,0.95417,1,0,vel_reversal,0.54180,10.00000,1550.37271,1554.23070,0.34411,0.32027,0.12015,0.12915,0.84243,96.92181,-37.63092,29.34732,-0.02507
64,2.63200,audio,combined,0.99760,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,618.18300,581.12200,42.60690,18.17905,1,right_foot,109.00080,0.44397,1.06278,0,0,vel_reversal,0.92308,15.00000,1574.31282,1775.87725,0.42106,0.25120,0.08385,0.32987,0.00000,86.18476,-29.19963,12.06861,24.10717
