frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,0.062967,0.000000,0.200000,0,0,0.000000
2,0,0,0,0,0.015867,0.012338,0.041518,0.000077,1,0.020016,0.000000,0.200000,0,0,0.000000
3,0,0,0,0,0.004006,0.009839,0.041593,0.000165,1,0.047012,0.000000,0.688000,0,0,0.000000
4,0,0,0,0,0.007064,0.016079,0.041755,0.000186,1,0.080308,0.000000,0.688000,0,0,0.000000
5,0,0,0,0,0.022914,0.043241,0.041936,0.000476,1,0.099451,0.000000,0.602000,0,0,0.000000
6,0,0,0,0,0.065008,0.038979,0.042404,0.005643,1,0.076790,0.000000,0.602000,0,0,0.000000
7,0,0,0,0,0.103662,0.025483,0.048047,0.000965,1,0.021288,0.000000,0.602000,0,0,0.000000
8,0,0,0,0,0.129120,0.042860,0.048981,0.000349,1,0.059063,0.000000,0.602000,0,0,0.000000
9,0,0,0,1,0.171864,0.128537,0.049122,0.001197,1,0.181772,0.000000,0.670800,0,0,0.000000
10,0,0,0,1,0.043654,0.151370,0.047954,0.078177,1,0.177300,0.000000,0.749437,0,0,0.000000
11,0,0,0,0,0.107818,0.010337,0.030326,0.000807,1,0.099709,0.000000,0.602000,0,0,0.000000
12,0,0,0,0,0.099696,0.024718,0.031096,0.000182,1,0.031590,0.000000,0.602000,0,0,0.000000
13,0,0,0,0,0.078401,0.016637,0.031167,0.000463,1,0.016184,0.000000,0.602000,0,0,0.000000
14,0,0,0,0,0.064130,0.012960,0.030727,0.005518,1,0.049267,0.000000,0.602000,0,0,0.000000
15,0,0,0,0,0.051526,0.013975,0.025210,0.018472,1,0.075353,0.000000,0.602000,0,0,0.000000
16,0,0,0,0,0.038327,0.021699,0.006803,0.006434,1,0.106948,0.000000,0.602000,0,0,0.000000
17,0,0,0,0,0.018094,0.020633,0.001087,0.000881,1,0.124082,0.000000,0.602000,0,0,0.000000
18,0,0,0,0,0.004825,0.037320,0.001169,0.022411,1,0.121598,0.000000,0.688000,0,0,0.000000
19,0,0,0,0,0.040943,0.081222,0.023038,0.002553,1,0.104839,0.000000,0.602000,0,0,0.000000
20,0,0,0,0,0.121327,0.022986,0.025586,0.000639,1,0.014943,0.000000,0.602000,0,0,0.000000
